ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	455	429946	429914.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	367	351255	351255.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	221	327542	327542.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	51	269104	269104.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	102	243907	243907.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	56	228075	228075.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	255	219785	219784.5	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	421	207751	207711.5	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	311	189045	189045.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	291	185168	185168.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	306	184796	184796.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	237	181220	181021.5	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	118	180662	180662.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	712	173915	173914.5	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	290	166886	166886.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	188	163809	163809.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	171	154614	154614.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	182	137633	137434.5	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	348	136909	136909.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	341	120824	120824.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	211	117142	117142.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	109	112201	112201.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	156	109146	109052.5	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	189	106043	106043.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	213	104592	104511.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	212	101337	101337.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	138	92195	92195.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	185	88274	88274.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	230	86976	86976.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	164	86426	86426.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	257	85281	85281.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	181	83193	83193.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	135	79689	79689.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	108	74609	74604.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	63	71936	71936.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	33	71769	71769.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	149	67659	67565.5	0.0
hsa-miR-615-5p:MIMAT0004804:Homo:sapiens:miR-615-5p	148	64362	64362.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	163	63393	63393.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	92	61202	61202.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	197	60959	60959.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	190	59574	59574.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	123	55209	55209.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	241	54957	54957.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	139	54569	54569.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	36	53758	53758.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	105	51462	51462.0	0.0
hsa-miR-550a-3-5p:MIMAT0020925:Homo:sapiens:miR-550a-3-5p|hsa-miR-550a-5p:MIMAT0004800:Homo:sapiens:miR-550a-5p	104	51587	50491.833333333336	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	96	48962	48962.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	218	47612	47612.0	0.0
