ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-376c-3p:MIMAT0000720:Homo:sapiens:miR-376c-3p	125	54799	54799.0	7833.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	240	52900	52900.0	23539.0
hsa-miR-380-3p:MIMAT0000735:Homo:sapiens:miR-380-3p	245	49878	49878.0	20534.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	182	44562	44562.0	10215.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	207	42958	42958.0	15227.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	222	42547	42547.0	16403.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	233	41284	41284.0	9473.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	312	40743	40743.0	13069.0
hsa-miR-501-5p:MIMAT0002872:Homo:sapiens:miR-501-5p	213	40155	40155.0	11519.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	193	39436	39436.0	11250.0
hsa-miR-452-3p:MIMAT0001636:Homo:sapiens:miR-452-3p	175	38880	38880.0	13135.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	150	39234	38818.0	9159.5
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	243	35350	35350.0	10979.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	209	35221	35221.0	13820.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	264	35179	35179.0	13159.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	309	35171	35171.0	9468.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	129	34585	34585.0	8983.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	207	34285	34285.0	13661.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	208	34445	34282.41666666667	10822.75
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	136	34122	34122.0	8107.0
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	257	33966	33966.0	9669.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	282	33565	33565.0	10962.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	170	33285	33285.0	8024.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	221	33012	33012.0	11797.0
hsa-miR-518f-5p:MIMAT0002841:Homo:sapiens:miR-518f-5p	284	35379	33009.58333333333	13214.083333333334
hsa-miR-323b-5p:MIMAT0001630:Homo:sapiens:miR-323b-5p	268	32708	32708.0	12388.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	244	32504	32502.0	12526.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	229	32246	32246.0	12714.0
hsa-miR-582-5p:MIMAT0003247:Homo:sapiens:miR-582-5p	261	32225	32225.0	9619.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	248	31721	31708.5	10282.5
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	140	31326	31326.0	11289.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	195	31062	31062.0	9580.0
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	214	30930	30930.0	9281.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	256	30640	30640.0	9625.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	172	30446	30446.0	10798.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	201	30429	30429.0	10005.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	216	30331	30311.5	15752.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	183	30316	30309.0	10889.5
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	202	30291	30250.833333333336	11076.833333333332
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	172	29358	29358.0	11583.0
