ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	124	58271	58271.0	4622.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	154	47479	47479.0	6464.0
hsa-miR-483-3p:MIMAT0002173:Homo:sapiens:miR-483-3p	118	44812	44812.0	4566.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	149	41036	41036.0	7120.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	108	39468	39468.0	4963.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	141	36511	36511.0	5272.0
hsa-miR-605-5p:MIMAT0003273:Homo:sapiens:miR-605-5p	163	35980	35980.0	5649.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	165	30873	30873.0	5258.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	172	29050	29050.0	6138.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	100	26438	26433.0	2856.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	129	26233	26233.0	4635.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	167	24014	24014.0	4276.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	154	23724	23724.0	3672.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	111	23695	23695.0	3219.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	68	23360	23360.0	3558.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	138	23232	23232.0	4490.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	84	22045	22045.0	3063.0
hsa-miR-624-5p:MIMAT0003293:Homo:sapiens:miR-624-5p	112	21754	21754.0	3248.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	108	21566	21566.0	3214.0
hsa-miR-204-5p:MIMAT0000265:Homo:sapiens:miR-204-5p	144	21526	21526.0	3396.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	148	21437	21437.0	3512.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	108	21310	21310.0	2550.0
hsa-miR-766-3p:MIMAT0003888:Homo:sapiens:miR-766-3p	75	19815	19815.0	3263.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	102	19041	19041.0	3666.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	121	18698	18698.0	2374.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	82	15693	15693.0	2277.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	121	15651	15651.0	3004.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	62	15405	15405.0	1366.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	74	15318	15281.5	2584.5
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	104	15134	15134.0	2591.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	137	14709	14709.0	2768.0
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	88	14600	14600.0	1841.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	98	14570	14570.0	2570.0
hsa-miR-409-5p:MIMAT0001638:Homo:sapiens:miR-409-5p	98	14271	14271.0	1862.0
hsa-miR-631:MIMAT0003300:Homo:sapiens:miR-631	51	14099	14099.0	2456.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	111	13804	13804.0	2868.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	67	13586	13586.0	2062.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	118	13552	13552.0	2695.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	99	13498	13498.0	2404.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	89	13275	13275.0	1779.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	139	12872	12872.0	2439.0
hsa-miR-550a-3p:MIMAT0003257:Homo:sapiens:miR-550a-3p	84	12824	12821.0	2231.0
hsa-miR-337-3p:MIMAT0000754:Homo:sapiens:miR-337-3p	74	12747	12747.0	2058.0
hsa-miR-149-5p:MIMAT0000450:Homo:sapiens:miR-149-5p	118	12745	12745.0	2313.0
hsa-miR-412-3p:MIMAT0002170:Homo:sapiens:miR-412-3p	57	12704	12704.0	2162.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	85	12568	12568.0	2256.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	92	12414	12414.0	1624.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	78	12275	12275.0	2081.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	117	11713	11713.0	2153.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	76	11556	11556.0	2015.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	91	11542	11542.0	1720.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	112	11219	11203.0	2213.5
hsa-miR-595:MIMAT0003263:Homo:sapiens:miR-595	92	11103	11103.0	2068.0
hsa-miR-182-3p:MIMAT0000260:Homo:sapiens:miR-182-3p	61	10844	10844.0	1766.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	82	10790	10790.0	2123.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	56	10787	10787.0	1642.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	62	10447	10447.0	1558.0
