ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-7-1-3p:MIMAT0004553:Homo:sapiens:miR-7-1-3p	154	125651	125651.0	4783.0
hsa-miR-483-3p:MIMAT0002173:Homo:sapiens:miR-483-3p	149	96079	96079.0	4857.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	177	95880	95880.0	6306.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	185	88828	88828.0	8006.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	134	78332	78332.0	4872.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	164	77524	77524.0	5342.0
hsa-miR-605-5p:MIMAT0003273:Homo:sapiens:miR-605-5p	179	76640	76640.0	5578.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	163	68341	68341.0	5198.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	141	66704	66704.0	3022.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	156	55479	55479.0	4631.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	160	55220	55220.0	5888.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	177	54450	54450.0	4070.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	126	52684	52638.5	2903.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	121	51356	51356.0	3361.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	81	49010	49010.0	3559.0
hsa-miR-624-5p:MIMAT0003293:Homo:sapiens:miR-624-5p	137	48034	48034.0	3507.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	172	47985	47985.0	4001.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	146	47573	47573.0	3344.0
hsa-miR-204-5p:MIMAT0000265:Homo:sapiens:miR-204-5p	149	46617	46617.0	3297.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	108	46602	46602.0	3016.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	152	43314	43314.0	4348.0
hsa-miR-150-5p:MIMAT0000451:Homo:sapiens:miR-150-5p	142	42758	42758.0	3406.0
hsa-miR-505-3p:MIMAT0002876:Homo:sapiens:miR-505-3p	166	41853	41853.0	2500.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	118	40416	40416.0	3347.0
hsa-miR-766-3p:MIMAT0003888:Homo:sapiens:miR-766-3p	83	40344	40344.0	3096.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	122	36018	36018.0	1954.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	103	35842	35842.0	2746.0
hsa-miR-409-5p:MIMAT0001638:Homo:sapiens:miR-409-5p	118	33168	33168.0	1939.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	78	32708	32708.0	1304.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	79	32512	32512.0	2190.0
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	83	32443	32443.0	1861.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	112	31979	31979.0	2483.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	102	31937	31937.0	2075.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	141	31680	31680.0	3008.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	82	31428	31362.0	2419.0
hsa-miR-149-5p:MIMAT0000450:Homo:sapiens:miR-149-5p	155	30304	30304.0	2514.0
hsa-miR-631:MIMAT0003300:Homo:sapiens:miR-631	63	29368	29368.0	2335.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	134	28551	28551.0	2596.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	115	28230	28230.0	2525.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	150	28068	28068.0	2549.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	149	27799	27799.0	2351.0
hsa-miR-337-3p:MIMAT0000754:Homo:sapiens:miR-337-3p	82	26961	26961.0	2061.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	119	26712	26653.5	2275.5
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	102	26538	26538.0	2263.0
hsa-miR-412-3p:MIMAT0002170:Homo:sapiens:miR-412-3p	68	26427	26427.0	2088.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	93	26290	26290.0	2219.0
hsa-miR-550a-3p:MIMAT0003257:Homo:sapiens:miR-550a-3p	90	25938	25936.5	2326.5
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	103	25905	25905.0	2638.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	90	25761	25761.0	1734.0
hsa-miR-595:MIMAT0003263:Homo:sapiens:miR-595	104	25296	25296.0	2255.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	106	24945	24945.0	1988.0
