ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	491	446060	446060.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	626	431344	431344.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	412	417626	417626.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	338	405030	405030.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	476	294826	294826.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	411	170907	170907.0	0.0
hsa-miR-578:MIMAT0003243:Homo:sapiens:miR-578	305	165071	165071.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	384	131731	131728.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	175	120711	120711.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	315	114464	114409.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	197	86780	86780.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	190	81297	81297.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	328	80617	80617.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	298	78909	78829.5	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	284	73769	73769.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	189	73611	73611.0	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	332	70509	70509.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	228	62031	62031.0	0.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	76	61402	61402.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	397	59678	59675.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	184	58811	58811.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	219	56866	56866.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	321	53168	53168.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	128	51024	51024.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	161	46135	46135.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	30	44623	44623.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	465	39945	39937.5	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	277	39555	39555.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	221	39101	39101.0	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	95	38337	38337.0	0.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	223	37843	37843.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	144	36879	36879.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	129	36672	36672.0	0.0
hsa-miR-760:MIMAT0004957:Homo:sapiens:miR-760	100	33756	33756.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	407	32570	32513.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	179	32247	32247.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	247	30953	30953.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	166	26913	26913.0	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	230	26884	26884.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	225	26369	26369.0	0.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	108	25992	25992.0	0.0
hsa-miR-582-3p:MIMAT0004797:Homo:sapiens:miR-582-3p	299	25814	25814.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	178	25715	25715.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	364	25275	25273.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	225	25247	25247.0	0.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	235	23647	23647.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	221	22381	22381.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	123	21548	21548.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	382	21172	21172.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	173	20893	20893.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	181	20664	20664.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	247	20483	20483.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	208	19618	19618.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	124	18799	18799.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	118	18470	18431.833333333332	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	143	17796	17794.5	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	131	17535	17535.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	165	16730	16728.5	0.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	212	16254	16254.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	38	16170	16170.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	229	16090	16090.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	216	15673	15673.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	240	15357	15357.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	145	14542	14542.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	182	12692	12692.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	157	12399	12399.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	183	12180	12180.0	0.0
hsa-miR-552-3p:MIMAT0003215:Homo:sapiens:miR-552-3p	126	12134	12134.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	178	11945	11945.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	116	11750	11750.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	147	11586	11576.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	161	11332	11332.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	114	10417	10417.0	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	261	10350	10350.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	131	10304	10292.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	135	10057	10057.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	369	9850	9847.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	180	9176	9176.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	178	9063	9023.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	215	8657	8657.0	0.0
