ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	31	2459	2459.0	377.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	16	2084	2080.333333333333	222.83333333333334
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	17	2055	2055.0	178.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	25	1897	1897.0	209.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	21	1746	1746.0	278.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	19	1730	1730.0	152.0
hsa-miR-483-3p:MIMAT0002173:Homo:sapiens:miR-483-3p	18	1561	1561.0	112.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	14	1458	1458.0	154.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	15	1450	1450.0	102.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	22	1341	1341.0	150.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	17	1333	1333.0	116.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	18	1312	1312.0	133.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	15	1305	1305.0	201.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	20	1290	1290.0	112.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	14	1231	1231.0	95.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	16	1226	1226.0	92.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	10	1188	1147.25	76.58333333333333
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	14	1141	1141.0	86.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	11	1125	1125.0	153.0
