ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	26	5220	5173.333333333333	398.8333333333333
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	45	4802	4802.0	553.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	34	4067	4067.0	531.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	32	4046	4046.0	343.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	23	3544	3544.0	226.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	29	3152	3152.0	218.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	21	3085	3085.0	231.0
hsa-miR-483-3p:MIMAT0002173:Homo:sapiens:miR-483-3p	23	3059	3059.0	172.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	27	3032	3030.0	241.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	21	3120	3017.0	173.41666666666666
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	21	2858	2858.0	170.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	27	2810	2810.0	186.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	26	2773	2772.5	264.5
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	24	2755	2755.0	184.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	29	2738	2738.0	354.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	26	2532	2532.0	264.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	14	2525	2525.0	141.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	21	2417	2417.0	152.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	30	2414	2414.0	220.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	27	2382	2382.0	173.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	17	2308	2308.0	167.0
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	22	2281	2281.0	241.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	15	2221	2221.0	116.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	22	2144	2144.0	222.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	27	2130	2130.0	150.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	20	2088	2088.0	226.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	16	2027	2027.0	233.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	13	2018	2018.0	133.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	19	1999	1999.0	174.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	22	1877	1877.0	128.0
