ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	77	30529	30529.0	1848.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	25	6127	6057.666666666667	475.8333333333333
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	37	5867	5867.0	612.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	32	5255	5255.0	603.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	36	4895	4895.0	306.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	24	4675	4533.833333333333	225.5
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	32	4405	4405.0	269.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	31	4027	4026.5	355.5
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	36	4007	4007.0	347.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	31	3977	3977.0	444.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	30	3959	3959.0	214.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	19	3857	3857.0	246.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	19	3549	3548.0	223.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	20	3505	3505.0	182.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	28	3397	3397.0	341.0
hsa-miR-483-3p:MIMAT0002173:Homo:sapiens:miR-483-3p	24	3342	3342.0	180.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	30	3331	3331.0	306.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	26	3269	3269.0	206.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	33	3262	3262.0	242.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	18	3198	3198.0	176.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	21	2974	2974.0	217.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	26	2914	2914.0	196.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	24	2747	2747.0	265.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	16	2677	2677.0	175.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	18	2596	2596.0	146.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	29	2578	2578.0	212.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	29	2429	2428.5	181.5
hsa-miR-382-3p:MIMAT0022697:Homo:sapiens:miR-382-3p	23	2362	2362.0	235.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	25	2304	2304.0	155.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	21	2291	2291.0	206.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	23	2259	2258.5	210.5
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	20	2257	2257.0	214.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	14	2222	2222.0	130.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	27	2135	2135.0	207.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	28	2125	2125.0	155.0
hsa-miR-95-3p:MIMAT0000094:Homo:sapiens:miR-95-3p	17	2125	2125.0	182.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	17	2115	2115.0	122.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	18	2086	2086.0	136.0
hsa-miR-411-3p:MIMAT0004813:Homo:sapiens:miR-411-3p	16	2056	2056.0	163.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	22	2041	2041.0	125.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	24	2037	2037.0	217.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	25	1942	1942.0	160.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	25	1889	1889.0	142.0
hsa-miR-629-3p:MIMAT0003298:Homo:sapiens:miR-629-3p	17	1821	1821.0	118.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	19	1847	1816.5	114.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	20	1764	1764.0	178.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	19	1764	1764.0	142.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	17	1709	1709.0	142.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	20	1678	1678.0	126.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	20	1627	1627.0	144.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	25	1616	1616.0	173.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	25	1603	1603.0	119.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	14	1590	1590.0	147.0
hsa-miR-626:MIMAT0003295:Homo:sapiens:miR-626	7	1569	1569.0	75.0
hsa-miR-154-3p:MIMAT0000453:Homo:sapiens:miR-154-3p	16	1438	1438.0	111.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	23	1438	1438.0	111.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	10	1420	1420.0	89.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	29	1420	1420.0	93.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	20	1413	1413.0	109.0
hsa-miR-487b-3p:MIMAT0003180:Homo:sapiens:miR-487b-3p	14	1403	1403.0	94.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	21	1391	1391.0	88.0
hsa-miR-552-3p:MIMAT0003215:Homo:sapiens:miR-552-3p	17	1381	1381.0	76.0
hsa-miR-216b-5p:MIMAT0004959:Homo:sapiens:miR-216b-5p	14	1376	1376.0	95.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	23	1366	1366.0	90.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	33	1363	1363.0	93.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	25	1338	1338.0	106.0
hsa-miR-645:MIMAT0003315:Homo:sapiens:miR-645	8	1333	1333.0	76.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	17	1330	1330.0	168.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	16	1314	1314.0	78.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	13	1276	1276.0	68.0
hsa-miR-598-3p:MIMAT0003266:Homo:sapiens:miR-598-3p	16	1270	1270.0	76.0
hsa-miR-550a-3p:MIMAT0003257:Homo:sapiens:miR-550a-3p	11	1252	1252.0	91.0
