ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	25	9500	9327.5	509.99999999999994
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	51	7254	7254.0	551.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	24	7041	6913.166666666667	239.5
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	27	6085	6085.0	245.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	32	5948	5948.0	372.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	32	5589	5589.0	225.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	33	5424	5424.0	433.0
hsa-miR-519b-5p:MIMAT0005454:Homo:sapiens:miR-519b-5p|hsa-miR-519c-5p:MIMAT0002831:Homo:sapiens:miR-519c-5p|hsa-miR-523-5p:MIMAT0005449:Homo:sapiens:miR-523-5p|hsa-miR-522-5p:MIMAT0005451:Homo:sapiens:miR-522-5p|hsa-miR-519a-5p:MIMAT0005452:Homo:sapiens:miR-519a-5p|hsa-miR-518e-5p:MIMAT0005450:Homo:sapiens:miR-518e-5p	25	4841	4818.5	213.5
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	32	4758	4758.0	234.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	38	4627	4627.0	389.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	23	4512	4512.0	220.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	30	4493	4493.0	198.0
hsa-miR-483-3p:MIMAT0002173:Homo:sapiens:miR-483-3p	19	4395	4395.0	178.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	25	4370	4370.0	282.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	25	4370	4369.5	289.5
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	18	3921	3921.0	239.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	23	3789	3789.0	152.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	19	3765	3765.0	250.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	29	3735	3734.5	221.5
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	33	3732	3732.0	172.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	22	3641	3641.0	252.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	19	3565	3565.0	118.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	24	3450	3450.0	207.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	28	3400	3399.0	153.5
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	26	3306	3306.0	131.0
hsa-miR-30e-5p:MIMAT0000692:Homo:sapiens:miR-30e-5p	22	3210	3210.0	237.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	26	3209	3209.0	152.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	22	3107	3107.0	136.0
