ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	31	21692	21692.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	112	14196	14196.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	77	14104	14104.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	51	13956	13956.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	92	12928	12918.5	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	71	12815	12805.5	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	86	11480	11472.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	91	11201	11201.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	102	11147	11147.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	84	10234	10234.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	80	9436	9436.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	38	9263	9263.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	87	9206	9206.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	163	8843	8843.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	84	8216	8216.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	31	8129	8129.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	62	7610	7610.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	44	7608	7608.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	92	7475	7475.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	58	6549	6549.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	90	6379	6379.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	105	6304	6304.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	72	6048	6048.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	75	5855	5855.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	19	5751	5751.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	119	5719	5719.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	49	5387	5387.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	41	5224	5224.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	65	5200	5200.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	26	5192	5192.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	67	5031	5031.0	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	39	5020	5020.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	52	4942	4942.0	0.0
