ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	31	25428	25428.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	133	23464	23464.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	112	23060	23060.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	87	22831	22831.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	93	22422	22404.5	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	64	21311	21311.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	91	20912	20894.5	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	103	20754	20736.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	140	19945	19943.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	207	15570	15569.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	110	15221	15221.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	142	15206	15204.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	108	14750	14750.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	135	13580	13580.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	103	13532	13532.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	103	13474	13474.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	57	13234	13234.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	83	12187	12187.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	46	11979	11979.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	96	11057	11057.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	73	10988	10988.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	33	10912	10912.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	100	13790	10211.5	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	120	9470	9470.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	93	9019	9019.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	127	8920	8920.0	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	54	8877	8877.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	25	8592	8592.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	82	8366	8366.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	69	8296	8296.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	107	8086	8086.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	73	8072	8072.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	51	8054	8054.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	75	8009	8009.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	34	7842	7842.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	78	7640	7640.0	0.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	48	7627	7627.0	0.0
hsa-miR-567:MIMAT0003231:Homo:sapiens:miR-567	100	7469	7469.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	49	7387	7387.0	0.0
hsa-miR-873-5p:MIMAT0004953:Homo:sapiens:miR-873-5p	57	7136	7136.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	62	7045	7045.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	50	7028	7028.0	0.0
