ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	36	31641	31641.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	132	31288	31288.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	89	28566	28566.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	146	25784	25784.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	57	21974	21974.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	100	21373	21359.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	90	20797	20783.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	108	20179	20164.5	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	132	18685	18685.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	183	16512	16512.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	99	15419	15419.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	107	15223	15223.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	55	14838	14838.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	112	14574	14574.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	99	14287	14287.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	117	13168	13168.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	138	13118	13118.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	42	12881	12881.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	39	12405	12405.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	108	12259	12259.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	66	11267	11267.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	73	11216	11216.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	74	11014	11014.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	136	10998	10998.0	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	52	10961	10961.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	82	10507	10507.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	92	10276	10276.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	143	10047	10047.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	22	9277	9277.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	77	9273	9273.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	96	9137	9137.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	78	8901	8901.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	75	8716	8716.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	51	8517	8517.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	84	11339	8366.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	59	7994	7994.0	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	72	7992	7992.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	33	7818	7818.0	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	100	7750	7750.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	48	7654	7654.0	0.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	56	7610	7610.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	77	7609	7609.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	61	7580	7580.0	0.0
hsa-miR-873-5p:MIMAT0004953:Homo:sapiens:miR-873-5p	53	7256	7256.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	74	7240	7240.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	74	7200	7200.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	56	6997	6997.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	42	6884	6884.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	63	6853	6853.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	65	6817	6817.0	0.0
hsa-miR-567:MIMAT0003231:Homo:sapiens:miR-567	78	6521	6521.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	85	6400	6400.0	0.0
hsa-miR-586:MIMAT0003252:Homo:sapiens:miR-586	80	6385	6385.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	24	6126	6126.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	111	6010	6010.0	0.0
hsa-miR-627-5p:MIMAT0003296:Homo:sapiens:miR-627-5p	54	5902	5902.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	50	5860	5860.0	0.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	57	5617	5617.0	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	90	5538	5538.0	0.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	49	5418	5418.0	0.0
hsa-miR-569:MIMAT0003234:Homo:sapiens:miR-569	53	5384	5384.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	70	8325	5352.0	0.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	40	5321	5321.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	47	5151	5151.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	50	5122	5122.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	49	5074	5074.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	90	5015	5015.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	58	4969	4969.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	47	4944	4944.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	49	4807	4807.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	47	4785	4785.0	0.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	36	4570	4570.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	43	4551	4551.0	0.0
hsa-miR-585-3p:MIMAT0003250:Homo:sapiens:miR-585-3p	30	4536	4536.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	78	4516	4516.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	60	4497	4497.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	35	4438	4438.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	51	4291	4291.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	44	4243	4243.0	0.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	54	4206	4206.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	37	4088	4088.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	63	4013	4013.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	54	4113	3996.5	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	67	3987	3987.0	0.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	37	3853	3853.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	48	3823	3823.0	0.0
hsa-miR-339-3p:MIMAT0004702:Homo:sapiens:miR-339-3p	72	3699	3699.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	55	3680	3680.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	46	3679	3679.0	0.0
hsa-miR-555:MIMAT0003219:Homo:sapiens:miR-555	40	3651	3651.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	49	3517	3505.5	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	52	3478	3478.0	0.0
hsa-miR-558:MIMAT0003222:Homo:sapiens:miR-558	24	3458	3458.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	106	3426	3426.0	0.0
hsa-miR-615-5p:MIMAT0004804:Homo:sapiens:miR-615-5p	49	3424	3424.0	0.0
hsa-miR-542-3p:MIMAT0003389:Homo:sapiens:miR-542-3p	34	3379	3379.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	50	3350	3350.0	0.0
