ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	629	3721856	3721856.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	539	1042706	1042706.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	480	1030069	1030069.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	1244	967942	967148.1666666673	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	517	657773	657773.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	752	629801	629801.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	674	620487	620487.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	438	603847	602676.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	539	580894	580866.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	541	578804	578804.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	580	536173	536173.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	695	503316	487754.41666666593	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	518	470440	470440.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	845	394290	394284.5	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	756	378461	377847.5	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	555	343265	343265.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	340	341556	341556.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	452	303399	303399.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	464	301127	301127.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	502	294998	294958.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	337	288196	288196.0	0.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	586	279647	279645.6666666667	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	523	274620	274620.0	0.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	266	266076	266076.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	297	260183	260183.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	416	253685	253685.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	461	228063	228063.0	0.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	409	227860	227860.0	0.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	450	210195	208851.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	431	198696	198661.0	0.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	493	191212	191212.0	0.0
hsa-miR-2110:MIMAT0010133:Homo:sapiens:miR-2110	425	181052	181052.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	538	158720	158720.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	213	138140	138140.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	369	134902	134902.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	463	132058	132058.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	503	124125	124122.0	0.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	66	124345	119989.72142857144	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	217	118759	118759.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	289	114184	113012.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	313	108196	108196.0	0.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	298	103440	103440.0	0.0
