ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	538	304966	304946.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	464	154112	154090.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	233	138539	138538.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	276	121607	121607.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	114	106916	106916.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	208	98812	98812.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	389	98657	98657.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	280	94282	94282.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	263	90998	90998.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	46	80320	80320.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	244	77152	77103.5	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	262	73634	73634.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	222	70722	70495.5	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	156	67170	66943.5	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	572	65844	65844.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	94	63647	63647.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	172	62775	62775.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	176	59536	59536.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	189	58858	58858.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	219	57026	57026.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	226	56908	56908.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	49	54661	54661.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	144	52974	52974.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	151	52445	52394.5	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	237	51899	51899.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	193	50041	50041.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	145	49291	49291.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	201	47839	47839.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	114	46931	46931.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	265	45511	45511.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	155	42502	42502.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	159	41465	41465.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	60	39567	39567.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	179	39153	38272.5	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	252	35411	35411.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	120	34320	34320.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	253	33933	33933.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	219	32866	32866.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	156	32420	32369.5	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	133	32347	32338.0	0.0
hsa-miR-569:MIMAT0003234:Homo:sapiens:miR-569	119	31367	31367.0	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	175	31286	31286.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	38	28008	28008.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	141	26636	26636.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	158	26615	26615.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	218	26159	26159.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	114	25861	25861.0	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	240	25579	25579.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	152	25148	25147.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	104	25093	25093.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	225	25071	25071.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	129	24997	24997.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	138	23824	23824.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	124	23162	23162.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	85	23060	23060.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	101	22748	22659.66666666666	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	132	22501	22501.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	88	22383	22383.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	198	22300	22101.5	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	195	21895	21895.0	0.0
hsa-miR-580-3p:MIMAT0003245:Homo:sapiens:miR-580-3p	138	21151	21151.0	0.0
hsa-miR-550a-3-5p:MIMAT0020925:Homo:sapiens:miR-550a-3-5p|hsa-miR-550a-5p:MIMAT0004800:Homo:sapiens:miR-550a-5p	74	21529	20943.416666666668	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	104	20709	20709.0	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	155	20621	20621.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	112	20348	20348.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	88	19877	19824.5	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	136	19323	19323.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	148	19110	19110.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	110	19067	19047.999999999996	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	112	18428	18428.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	136	18353	18353.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	299	18121	18120.5	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	175	22017	17853.5	0.0
hsa-miR-586:MIMAT0003252:Homo:sapiens:miR-586	174	17672	17672.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	79	17391	17391.0	0.0
hsa-miR-125a-5p:MIMAT0000443:Homo:sapiens:miR-125a-5p	259	16754	16754.0	0.0
hsa-miR-181d-5p:MIMAT0002821:Homo:sapiens:miR-181d-5p	203	16741	16741.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	114	16340	16340.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	108	16076	16076.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	101	15864	15864.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	96	15339	15339.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	173	14470	14470.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	31	13861	13861.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	188	16784	12620.5	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	233	12447	12439.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	143	12438	12438.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	156	12375	12375.0	0.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	108	12050	12050.0	0.0
hsa-miR-635:MIMAT0003305:Homo:sapiens:miR-635	231	11945	11945.0	0.0
hsa-miR-600:MIMAT0003268:Homo:sapiens:miR-600	219	11720	11720.0	0.0
hsa-miR-515-5p:MIMAT0002826:Homo:sapiens:miR-515-5p	82	11627	11627.0	0.0
hsa-miR-577:MIMAT0003242:Homo:sapiens:miR-577	85	10903	10903.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	121	10864	10864.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	112	10777	10777.0	0.0
hsa-miR-576-5p:MIMAT0003241:Homo:sapiens:miR-576-5p	83	10337	10337.0	0.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	67	10688	10159.333333333334	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	156	9775	9775.0	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	82	9695	9695.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	94	9432	9432.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	114	9404	9404.0	0.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	77	9252	9252.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	121	9178	9154.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	174	9104	9104.0	0.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	67	9043	9043.0	0.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	157	9032	9032.0	0.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	106	8923	8922.5	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	102	8820	8820.0	0.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	131	8817	8817.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	96	8647	8647.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	95	8586	8586.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	117	8555	8555.0	0.0
hsa-miR-623:MIMAT0003292:Homo:sapiens:miR-623	101	8113	8113.0	0.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	133	8101	8101.0	0.0
hsa-miR-767-3p:MIMAT0003883:Homo:sapiens:miR-767-3p	82	8008	8008.0	0.0
hsa-miR-627-5p:MIMAT0003296:Homo:sapiens:miR-627-5p	89	7993	7993.0	0.0
hsa-miR-208b-3p:MIMAT0004960:Homo:sapiens:miR-208b-3p	122	7973	7973.0	0.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	67	7907	7907.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	103	7855	7853.0	0.0
hsa-miR-153-3p:MIMAT0000439:Homo:sapiens:miR-153-3p	77	7295	7295.0	0.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	49	7253	7253.0	0.0
hsa-miR-520c-5p:MIMAT0005455:Homo:sapiens:miR-520c-5p|hsa-miR-518d-5p:MIMAT0005456:Homo:sapiens:miR-518d-5p|hsa-miR-526a:MIMAT0002845:Homo:sapiens:miR-526a	94	7314	7183.999999999999	0.0
hsa-miR-616-5p:MIMAT0003284:Homo:sapiens:miR-616-5p	93	6987	6987.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	58	6933	6933.0	0.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	130	6887	6745.5	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	93	6737	6737.0	0.0
hsa-miR-31-5p:MIMAT0000089:Homo:sapiens:miR-31-5p	96	6671	6671.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	118	6658	6658.0	0.0
