ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	483	459443	459416.5	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	260	421151	421150.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	149	374277	374277.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	57	353829	353829.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	360	314575	314575.0	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	295	285878	285878.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	262	276399	276397.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	105	265809	265809.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	426	244136	244135.5	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	206	240017	239779.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	264	232610	232412.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	285	228409	228409.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	469	225451	225413.5	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	65	220955	220955.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	743	218906	218906.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	265	214471	214233.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	181	205565	205565.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	233	202202	202202.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	258	187022	187022.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	199	177816	177816.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	230	174350	174350.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	287	165682	165682.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	129	163999	163999.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	324	160415	160415.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	210	160307	160307.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	196	159746	159746.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	288	157288	157288.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	314	156377	156377.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	150	149153	149144.5	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	367	147079	147079.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	164	140335	140213.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	174	133302	133302.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	278	119476	119476.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	139	110295	110295.0	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	299	108863	108863.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	40	107439	107439.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	169	101840	101840.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	186	98252	98252.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	142	91301	91301.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	214	90133	90133.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	66	87922	87922.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	149	87691	87691.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	184	87399	87399.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	179	83995	83995.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	134	82090	82090.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	260	81200	81200.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	201	80891	80890.5	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	179	80785	80663.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	179	81924	79860.5	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	164	79222	79222.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	117	77555	77251.16666666664	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	220	76702	76702.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	272	73396	73396.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	99	72405	72405.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	203	70898	70898.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	36	69777	69777.0	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	298	69758	69758.0	0.0
