ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	258	1817222	1817222.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	372	1527823	1527821.1666666667	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	436	1499945	1499758.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	429	1067642	1067642.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	304	668341	668341.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	278	661653	661653.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	168	579170	579170.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	370	572375	572375.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	189	533733	533733.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	222	474916	474916.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	185	341917	341917.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	129	340740	340740.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	207	327500	327500.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	171	309134	309134.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	201	302585	302585.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	180	297745	297745.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	143	295812	295812.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	195	286512	286512.0	0.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	150	281733	281733.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	187	276415	276262.5	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	112	251159	251064.5	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	133	249718	249718.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	166	247044	247044.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	172	244179	244179.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	235	227506	227320.0	0.0
