ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	473	292290	292290.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	538	250964	250964.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	322	246129	246129.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	333	240645	240645.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	532	238948	238948.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	485	234708	234708.0	0.0
hsa-miR-578:MIMAT0003243:Homo:sapiens:miR-578	315	201815	201815.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	270	165417	165417.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	207	153814	153814.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	265	152506	152506.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	387	130086	130081.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	185	113404	113404.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	407	108200	108200.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	200	106709	106709.0	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	144	105929	105929.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	233	104755	104755.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	307	96919	96919.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	507	96443	96439.5	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	352	94515	94515.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	213	92893	92893.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	315	92572	92537.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	378	90385	90385.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	244	89504	89504.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	239	84464	84464.0	0.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	109	73820	73820.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	277	69988	69988.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	575	68423	68273.5	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	153	65205	65205.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	216	62740	62731.0	0.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	245	60445	60445.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	40	59570	59570.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	256	58525	58525.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	277	56592	56543.5	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	339	52390	52390.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	524	51504	51482.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	215	49383	49383.0	0.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	298	49189	49189.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	356	48367	48367.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	217	48193	48193.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	231	44556	44556.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	266	44181	44181.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	285	42699	42699.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	285	41933	41933.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	165	41749	41662.166666666664	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	250	41510	41510.0	0.0
hsa-miR-760:MIMAT0004957:Homo:sapiens:miR-760	111	39457	39457.0	0.0
hsa-miR-552-3p:MIMAT0003215:Homo:sapiens:miR-552-3p	173	39186	39186.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	240	38145	38145.0	0.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	295	37489	37489.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	187	36430	36430.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	209	35787	35787.0	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	290	34248	34248.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	178	32933	32933.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	287	29908	29828.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	448	29610	29606.5	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	199	28984	28982.0	0.0
hsa-miR-582-3p:MIMAT0004797:Homo:sapiens:miR-582-3p	293	28802	28802.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	277	28659	28659.0	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	256	28625	28625.0	0.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	122	28374	28374.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	206	27601	27600.5	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	241	27484	27484.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	162	27450	27450.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	188	26383	26381.0	0.0
hsa-miR-520a-3p:MIMAT0002834:Homo:sapiens:miR-520a-3p	135	25043	25041.5	0.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	291	24910	24910.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	278	24763	24763.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	198	24338	24314.5	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	394	24244	24244.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	237	23477	23477.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	161	21885	21885.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	172	21606	21606.0	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	282	20809	20809.0	0.0
hsa-miR-631:MIMAT0003300:Homo:sapiens:miR-631	85	19963	19963.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	262	19794	19794.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	212	19389	19389.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	246	19176	19176.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	221	18564	18564.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	38	18372	18372.0	0.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	143	17758	17758.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	255	17688	17688.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	121	17525	17525.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	60	16789	16789.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	35	16763	16763.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	491	16689	16684.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	110	16366	16366.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	266	16294	16294.0	0.0
hsa-miR-632:MIMAT0003302:Homo:sapiens:miR-632	31	15917	15917.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	265	15861	15861.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	216	15555	15555.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	125	15285	15285.0	0.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	280	14807	14807.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	163	14726	14726.0	0.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	227	14465	14465.0	0.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	299	14449	14315.5	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	178	13365	13365.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	141	13273	13247.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	187	13099	13072.5	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	110	12757	12757.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	230	12388	12388.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	152	12244	12244.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	122	12021	12021.0	0.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	242	11824	11824.0	0.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	139	11680	11680.0	0.0
hsa-miR-758-3p:MIMAT0003879:Homo:sapiens:miR-758-3p	127	11507	11507.0	0.0
hsa-miR-382-5p:MIMAT0000737:Homo:sapiens:miR-382-5p	218	11412	11412.0	0.0
hsa-miR-558:MIMAT0003222:Homo:sapiens:miR-558	36	10139	10139.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	212	9807	9798.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	166	9653	9653.0	0.0
hsa-miR-216b-5p:MIMAT0004959:Homo:sapiens:miR-216b-5p	115	9328	9328.0	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	73	9205	9205.0	0.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	136	8800	8800.0	0.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	114	8286	8286.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	154	7921	7921.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	132	7915	7900.333333333334	0.0
hsa-miR-562:MIMAT0003226:Homo:sapiens:miR-562	88	7864	7864.0	0.0
hsa-miR-601:MIMAT0003269:Homo:sapiens:miR-601	149	7708	7708.0	0.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	188	7681	7681.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	192	7601	7601.0	0.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	176	7492	7492.0	0.0
