ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	403	204540	204540.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	493	176427	176427.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	293	172918	172918.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	268	161163	161163.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	469	149547	149547.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	414	147046	147046.0	0.0
hsa-miR-578:MIMAT0003243:Homo:sapiens:miR-578	290	130439	130439.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	215	96150	96150.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	183	91833	91833.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	217	88364	88364.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	312	77322	77319.5	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	158	61342	61342.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	140	60266	60266.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	339	59134	59134.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	182	58042	58042.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	240	57161	57161.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	256	56035	55985.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	175	53971	53971.0	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	102	53151	53151.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	268	52797	52797.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	304	50371	50371.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	387	50182	50179.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	208	46662	46662.0	0.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	89	44066	44066.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	187	42846	42846.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	240	40462	40462.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	150	38563	38563.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	34	38347	38347.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	237	35740	35691.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	196	34754	34754.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	455	34141	34072.0	0.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	226	33698	33698.0	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	272	32379	32379.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	448	29103	29094.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	174	28678	28678.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	153	26723	26718.0	0.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	244	26538	26538.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	178	25616	25616.0	0.0
hsa-miR-760:MIMAT0004957:Homo:sapiens:miR-760	104	25401	25401.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	251	25235	25235.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	281	24338	24338.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	128	22625	22572.5	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	211	21892	21892.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	143	21537	21537.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	205	21357	21357.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	191	20609	20609.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	214	20564	20564.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	176	20358	20358.0	0.0
hsa-miR-582-3p:MIMAT0004797:Homo:sapiens:miR-582-3p	240	19507	19507.0	0.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	215	18310	18310.0	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	214	18019	18019.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	136	17808	17808.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	139	17295	17295.0	0.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	96	17099	17099.0	0.0
hsa-miR-552-3p:MIMAT0003215:Homo:sapiens:miR-552-3p	152	16795	16795.0	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	208	16177	16177.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	161	15958	15958.0	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	118	15883	15883.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	145	15867	15867.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	342	15818	15816.5	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	152	15383	15383.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	221	14630	14630.0	0.0
