ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	522	387762	387762.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	344	342794	342794.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	370	315852	315852.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	600	302213	302213.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	460	221934	221934.0	0.0
hsa-miR-578:MIMAT0003243:Homo:sapiens:miR-578	339	207887	207887.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	219	165256	165256.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	477	155979	155979.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	277	154236	154236.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	248	148046	148046.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	393	114139	114137.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	316	105492	105492.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	429	102292	102292.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	206	98986	98986.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	302	92205	92152.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	212	92040	92040.0	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	137	87675	87675.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	200	87037	87037.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	168	83113	83113.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	375	82817	82817.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	330	72500	72500.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	37	71638	71638.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	161	68612	68612.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	277	67195	67195.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	427	67153	67150.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	278	60965	60929.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	228	59866	59866.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	208	56463	56463.0	0.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	92	49846	49846.0	0.0
hsa-miR-323a-5p:MIMAT0004696:Homo:sapiens:miR-323a-5p	303	48495	48495.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	227	48257	48257.0	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	333	47989	47989.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	501	45525	45431.0	0.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	238	44480	44480.0	0.0
hsa-miR-518c-5p:MIMAT0002847:Homo:sapiens:miR-518c-5p	152	41471	41382.083333333336	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	504	41309	41292.5	0.0
hsa-miR-760:MIMAT0004957:Homo:sapiens:miR-760	113	39853	39853.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	246	38268	38268.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	217	37729	37729.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	231	37690	37690.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	273	35442	35442.0	0.0
hsa-miR-571:MIMAT0003236:Homo:sapiens:miR-571	160	33770	33770.0	0.0
hsa-miR-582-3p:MIMAT0004797:Homo:sapiens:miR-582-3p	310	30893	30893.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	309	30270	30270.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	185	29940	29931.5	0.0
hsa-miR-765:MIMAT0003945:Homo:sapiens:miR-765	118	28899	28899.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	221	27834	27834.0	0.0
hsa-miR-372-3p:MIMAT0000724:Homo:sapiens:miR-372-3p	233	27110	27110.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	186	26931	26931.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	191	26272	26270.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	205	25918	25917.5	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	174	25710	25710.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	172	25437	25437.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	390	25039	25035.5	0.0
hsa-let-7i-5p:MIMAT0000415:Homo:sapiens:let-7i-5p	151	24321	24321.0	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	253	23718	23718.0	0.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	241	23663	23663.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	231	22998	22998.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	207	21672	21670.0	0.0
hsa-miR-885-3p:MIMAT0004948:Homo:sapiens:miR-885-3p	219	21355	21355.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	250	20667	20667.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	146	19189	19189.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	42	18757	18757.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	219	18390	18390.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	384	18191	18191.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	206	17584	17584.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	207	17548	17548.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	180	17308	17286.0	0.0
hsa-miR-632:MIMAT0003302:Homo:sapiens:miR-632	36	17252	17252.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	273	17071	17071.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	225	16812	16812.0	0.0
hsa-miR-552-3p:MIMAT0003215:Homo:sapiens:miR-552-3p	137	16349	16349.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	238	16329	16329.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	226	16113	16113.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	206	15740	15739.5	0.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	262	15048	15048.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	222	14988	14934.0	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	267	14885	14885.0	0.0
hsa-miR-520a-3p:MIMAT0002834:Homo:sapiens:miR-520a-3p	121	14549	14548.0	0.0
hsa-miR-631:MIMAT0003300:Homo:sapiens:miR-631	74	14502	14502.0	0.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	145	14048	14048.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	203	13883	13883.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	117	13876	13876.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	426	13188	13186.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	32	12955	12955.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	139	12950	12950.0	0.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	273	12898	12898.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	118	12834	12834.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	218	11944	11944.0	0.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	227	11375	11375.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	152	11173	11173.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	170	11161	11138.0	0.0
