ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	383	1257363	1257363.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	680	1226028	1226028.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	583	647892	647892.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	765	517458	517458.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	419	517456	517456.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	304	451312	451312.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	773	403403	403375.5	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	362	376993	376993.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	249	332678	332678.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	360	297048	297048.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	423	253539	253539.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	508	227904	227904.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	347	219343	219343.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	460	198123	198123.0	0.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	187	179714	179714.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	299	170024	170024.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	300	168851	168847.5	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	295	117064	116948.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	238	108397	108397.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	319	80830	80830.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	395	78621	78621.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	300	74805	74805.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	177	73469	73469.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	143	69613	69613.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	343	69354	69350.5	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	219	66564	66564.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	203	62700	62700.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	163	62532	62532.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	187	52216	52216.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	316	52109	52083.5	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	326	50638	50612.666666666664	0.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	164	48021	48021.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	226	47885	47885.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	280	47512	47507.5	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	252	47126	47110.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	208	44239	44239.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	297	44294	44172.5	0.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	309	40847	40847.0	0.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	130	39941	39941.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	154	37696	37696.0	0.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	182	37292	37292.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	173	36489	36489.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	223	35959	35959.0	0.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	233	34801	34801.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	207	34629	34629.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	190	33692	33692.0	0.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	170	33638	33638.0	0.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	229	31914	31914.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	122	31879	31879.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	166	31745	31745.0	0.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	139	31332	31332.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	251	31264	31264.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	277	31052	31051.0	0.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	249	30044	30039.5	0.0
hsa-miR-605-3p:MIMAT0026621:Homo:sapiens:miR-605-3p	167	29754	29754.0	0.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	107	36685	29102.716666666664	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	123	28755	28755.0	0.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	150	28306	28306.0	0.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	117	28033	28033.0	0.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	210	27804	27804.0	0.0
