ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	395	1364172	1364172.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	708	1335664	1335664.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	600	697063	697063.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	431	578906	578906.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	801	570798	570798.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	302	489411	489411.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	807	444243	444206.5	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	353	396603	396603.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	256	354856	354856.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	377	324247	324247.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	425	274434	274434.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	502	255464	255464.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	335	243761	243761.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	498	225577	225577.0	0.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	207	206001	206001.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	302	187403	187403.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	304	182997	182992.5	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	294	129310	129179.5	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	248	118572	118572.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	352	91902	91902.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	416	86336	86336.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	299	84694	84694.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	183	79380	79380.0	0.0
