ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	450	2326530	2326530.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	722	443641	443371.0833333333	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	442	331075	331075.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	312	284605	284605.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	310	276258	276258.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	374	264108	264108.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	268	263822	263822.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	340	257357	257357.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	488	251906	251906.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	433	244101	244101.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	344	236815	236811.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	469	190239	189936.33333333334	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	327	187735	187735.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	229	153822	153685.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	326	153629	153629.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	272	153328	153327.33333333334	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	191	152041	152041.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	207	148240	148240.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	224	144968	144968.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	465	133768	133766.83333333334	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	152	132470	132470.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	304	128229	128229.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	287	113859	113859.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	323	110433	108010.08333333326	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	248	101726	101726.0	0.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	258	97320	97320.0	0.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	312	95016	95016.0	0.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	288	93210	93210.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	273	85678	85678.0	0.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	171	84096	84096.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	353	83378	83378.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	248	82187	82187.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	366	82113	82113.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	238	74395	74382.5	0.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	143	72350	72350.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	173	70673	70673.0	0.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	216	67207	67200.5	0.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	303	67107	67107.0	0.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	295	66722	66722.0	0.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	191	65580	65580.0	0.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	42	65561	63809.814285714274	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	237	62165	62165.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	274	61376	61376.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	269	59671	59658.5	0.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	273	49089	49089.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	125	43465	43465.0	0.0
hsa-miR-2110:MIMAT0010133:Homo:sapiens:miR-2110	218	42347	42347.0	0.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	145	40977	40977.0	0.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	168	37770	37770.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	164	34951	34950.5	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	310	33921	33920.0	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	182	34233	33836.75	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	202	33707	33707.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	209	30839	30839.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	141	29822	29685.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	141	29431	29429.0	0.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	128	26599	26599.0	0.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	199	25849	25849.0	0.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	145	24811	24811.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	143	21059	21019.0	0.0
