ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	333	941522	941522.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	365	901703	901225.5	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	466	780952	780952.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	963	748537	747838.5	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	665	740474	721801.6166666674	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	580	660219	660219.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	620	660115	660115.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	471	547319	547319.0	0.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	466	441184	441184.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	303	430797	430797.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	613	426451	425839.0	0.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	585	413164	413164.0	0.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	246	377291	377291.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	383	367277	367277.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	631	346667	346663.5	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	260	295675	295675.0	0.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	539	287794	287793.5	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	497	277137	277087.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	414	258810	258810.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	466	255461	255461.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	325	249877	249872.5	0.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	292	230447	230447.0	0.0
