ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	287	218358	218358.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	353	121637	121635.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	408	116208	116208.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	199	108405	108405.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	356	107873	107873.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	271	107042	107042.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	487	99864	99864.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	239	95985	95985.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	208	92235	92235.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	240	87581	87581.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	484	86875	86868.5	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	359	84341	84341.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	236	84194	84194.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	660	84189	84011.5	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	266	83452	83452.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	374	81951	81951.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	355	80659	80657.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	326	76617	76568.5	0.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	425	76106	76106.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	243	76057	76057.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	272	75523	75523.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	464	75122	75122.0	0.0
