ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	300	258030	258030.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	353	134043	134042.5	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	388	133865	133865.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	300	129028	129028.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	345	128165	128165.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	229	120457	120457.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	263	118784	118784.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	245	116987	116987.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	404	113378	113378.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	505	112355	112355.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	248	103357	103357.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	279	102546	102546.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	458	101596	101596.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	260	101438	101438.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	486	100428	100420.5	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	340	100013	99965.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	369	96689	96689.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	694	94698	94484.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	267	90682	90682.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	506	90019	89423.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	349	88216	88213.5	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	258	87674	87674.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	331	87343	87343.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	263	86200	86200.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	265	85917	85897.5	0.0
hsa-miR-520a-3p:MIMAT0002834:Homo:sapiens:miR-520a-3p	213	85273	85268.5	0.0
hsa-miR-578:MIMAT0003243:Homo:sapiens:miR-578	272	85202	85202.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	244	85028	85028.0	0.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	436	83757	83757.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	243	82708	82708.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	234	80683	80683.0	0.0
hsa-miR-631:MIMAT0003300:Homo:sapiens:miR-631	131	80032	80032.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	274	78484	78456.5	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	374	76450	76450.0	0.0
hsa-miR-552-3p:MIMAT0003215:Homo:sapiens:miR-552-3p	215	75295	75295.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	322	74198	74156.5	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	377	73750	73750.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	301	73199	73199.0	0.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	177	72275	72275.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	291	70959	70959.0	0.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	310	69513	69513.0	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	122	67710	67710.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	249	67170	67168.5	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	263	65198	65198.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	330	64351	64351.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	174	63047	63047.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	336	62973	62973.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	310	62689	62687.5	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	322	60501	60488.5	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	148	60136	60136.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	170	59634	59634.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	68	57890	57890.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	559	56338	56282.5	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	191	55755	55755.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	268	54148	54049.0	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	331	53630	53630.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	362	53090	53090.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	249	53039	53039.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	342	52595	52595.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	269	51898	51798.5	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	455	51059	51059.0	0.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	354	50244	50244.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	294	49277	49277.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	544	49202	49202.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	189	49154	49154.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	406	48750	48750.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	223	48710	48710.0	0.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	242	48576	48576.0	0.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	350	47648	47648.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	551	47314	47311.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	315	46988	46988.0	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	249	46402	46402.0	0.0
hsa-miR-217:MIMAT0000274:Homo:sapiens:miR-217	307	46133	46133.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	399	43755	43755.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	359	43704	43704.0	0.0
hsa-miR-620:MIMAT0003289:Homo:sapiens:miR-620	76	43559	43559.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	231	43509	43509.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	351	43037	43037.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	197	43692	42496.50000000004	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	950	42328	42325.5	0.0
