ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	306	226528	226528.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	393	120086	120086.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	325	116747	116745.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	337	115501	115501.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	283	113059	113059.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	237	105145	105145.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	202	104651	104651.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	261	104021	104021.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	471	102677	102677.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	388	101646	101646.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	463	94347	94347.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	333	91916	91866.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	257	91860	91860.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	482	91802	91796.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	276	89963	89963.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	217	89397	89397.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	670	87668	87475.0	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	339	83524	83524.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	473	81282	80770.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	336	79257	79252.5	0.0
