ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	276	184405	184405.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	357	101703	101703.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	314	99466	99464.5	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	339	98069	98069.0	0.0
hsa-miR-363-5p:MIMAT0003385:Homo:sapiens:miR-363-5p	267	94084	94084.0	0.0
hsa-miR-581:MIMAT0003246:Homo:sapiens:miR-581	220	93637	93637.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	370	86243	86243.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	461	85726	85726.0	0.0
hsa-miR-504-5p:MIMAT0002875:Homo:sapiens:miR-504-5p	263	83123	83123.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	211	82733	82733.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	443	77504	77504.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	466	76867	76859.5	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	310	75840	75803.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	253	74707	74707.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	216	73480	73480.0	0.0
hsa-miR-492:MIMAT0002812:Homo:sapiens:miR-492	205	72969	72969.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	628	72559	72396.5	0.0
hsa-miR-448:MIMAT0001532:Homo:sapiens:miR-448	340	69656	69656.0	0.0
hsa-miR-578:MIMAT0003243:Homo:sapiens:miR-578	253	67752	67752.0	0.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	473	66487	66067.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	337	65634	65632.5	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	224	65108	65108.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	310	65107	65107.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	259	64524	64524.0	0.0
hsa-miR-520a-3p:MIMAT0002834:Homo:sapiens:miR-520a-3p	193	64336	64331.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	228	63756	63756.0	0.0
hsa-miR-493-5p:MIMAT0002813:Homo:sapiens:miR-493-5p	251	62771	62771.0	0.0
hsa-miR-380-5p:MIMAT0000734:Homo:sapiens:miR-380-5p	387	61547	61547.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	215	60860	60860.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	227	58055	58055.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	235	57650	57637.0	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	287	56101	56065.5	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	266	55808	55787.5	0.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	186	55782	55782.0	0.0
hsa-miR-631:MIMAT0003300:Homo:sapiens:miR-631	116	55535	55535.0	0.0
hsa-miR-552-3p:MIMAT0003215:Homo:sapiens:miR-552-3p	192	55081	55081.0	0.0
hsa-miR-379-5p:MIMAT0000733:Homo:sapiens:miR-379-5p	267	54259	54259.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	278	54178	54178.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	333	53743	53743.0	0.0
hsa-miR-508-3p:MIMAT0002880:Homo:sapiens:miR-508-3p	332	53071	53071.0	0.0
hsa-miR-889-3p:MIMAT0004921:Homo:sapiens:miR-889-3p	250	51438	51438.0	0.0
hsa-miR-516b-5p:MIMAT0002859:Homo:sapiens:miR-516b-5p	255	49617	49617.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	221	49512	49511.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	301	48363	48363.0	0.0
hsa-miR-514a-3p:MIMAT0002883:Homo:sapiens:miR-514a-3p	105	47508	47508.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	296	47391	47391.0	0.0
hsa-miR-506-3p:MIMAT0002878:Homo:sapiens:miR-506-3p	162	46211	46211.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	276	45671	45670.5	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	296	41901	41894.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	511	41929	41878.5	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	251	41514	41419.5	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	126	41199	41199.0	0.0
hsa-miR-206:MIMAT0000462:Homo:sapiens:miR-206	307	40379	40379.0	0.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	57	39991	39991.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	306	39533	39533.0	0.0
hsa-miR-511-5p:MIMAT0002808:Homo:sapiens:miR-511-5p	146	39391	39391.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	341	38409	38409.0	0.0
hsa-miR-638:MIMAT0003308:Homo:sapiens:miR-638	402	38053	38053.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	517	37785	37785.0	0.0
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	173	36946	36946.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	252	36352	36262.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	496	36083	36079.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	225	35776	35776.0	0.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	266	35602	35601.5	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	251	34611	34611.0	0.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	315	34573	34573.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	203	34217	34217.0	0.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	188	33738	33738.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	337	33212	33212.0	0.0
