ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	436	382421	382421.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	371	317543	317438.5	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	593	316733	316696.0	0.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	512	287438	287438.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	206	276604	276604.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	245	256319	256319.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	333	216737	216737.0	0.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	326	196804	196803.5	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	269	188673	188673.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	463	171646	171646.0	0.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	394	153660	153660.0	0.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	291	146510	146510.0	0.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	300	140613	140613.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	351	129290	129272.5	0.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	382	128571	128553.5	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	386	126384	126384.0	0.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	220	112660	112660.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	319	111641	111641.0	0.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	173	106418	106418.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	401	105958	105956.0	0.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	152	101967	101967.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	227	95044	95044.0	0.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	362	94945	94945.0	0.0
