ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	392	544875	544875.0	36010.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	563	440426	440426.0	68193.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	386	423315	423315.0	25482.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	541	379850	379850.0	36206.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	477	364734	364569.5	37733.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	401	349905	349904.0	36632.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	419	271236	271236.0	59787.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	284	226377	226370.5	30174.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	361	209278	209278.0	28145.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	385	207840	207840.0	27840.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	342	207759	207759.0	33185.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	289	207222	206934.5	21966.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	185	205858	205858.0	22594.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	284	200471	200471.0	21437.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	311	165740	165740.0	27997.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	350	159516	159502.0	33148.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	335	147999	147999.0	27952.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	291	136989	136989.0	33551.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	283	130637	130637.0	20558.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	283	110791	110791.0	19400.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	192	106959	106931.0	17029.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	238	103350	103350.0	21042.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	301	102862	102698.0	18211.5
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	295	96163	96163.0	16414.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	167	94545	94545.0	14511.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	221	94358	94358.0	14957.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	225	92964	92964.0	14399.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	283	91364	91011.83333333334	16214.333333333334
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	196	81360	81360.0	22507.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	249	79772	79634.0	20607.5
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	202	77388	77388.0	11612.0
