ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	288	110472	110449.5	50642.5
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	177	94965	94965.0	31410.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	226	70525	70525.0	34309.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	312	67483	67483.0	35976.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	196	64317	64302.5	14724.5
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	185	59764	59763.5	24901.5
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	197	57652	57652.0	34487.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	252	57368	57368.0	18119.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	222	55041	55041.0	28228.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	209	54251	54251.0	20795.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	269	53928	53928.0	26810.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	260	53363	53363.0	17706.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	252	48141	48141.0	26084.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	197	47923	47923.0	16261.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	243	43687	43687.0	21125.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	158	43010	43010.0	19399.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	216	42192	42192.0	20402.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	157	41165	41165.0	13289.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	265	40970	40961.5	25455.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	190	39765	39765.0	23303.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	148	35657	35657.0	23170.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	197	30403	30403.0	19407.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	169	30008	30008.0	9940.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	142	28962	28962.0	15763.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	145	28640	28640.0	6345.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	158	27856	27856.0	9706.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	231	27498	27498.0	15832.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	104	27320	27320.0	5775.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	152	27258	27258.0	9696.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	139	27094	27086.5	17317.5
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	60	26147	26130.866666666665	14189.866666666667
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	192	25254	25241.0	12343.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	165	24783	24783.0	12571.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	205	23996	23988.5	12479.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	168	23886	23863.5	16225.5
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	149	23576	23576.0	10164.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	185	23044	23044.0	12379.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	145	22557	22517.0	9970.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	150	22325	22325.0	9386.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	173	20360	20360.0	15840.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	91	18817	18817.0	11114.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	138	18129	18129.0	7861.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	162	18083	18083.0	14768.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	115	17488	17488.0	10907.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	126	16905	16672.0	7747.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	167	16642	16642.0	10891.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	98	16624	16624.0	9358.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	105	16605	16605.0	5563.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	171	16325	16325.0	7017.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	108	16295	16295.0	11974.0
