ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	261	114776	114752.5	49267.5
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	166	99516	99516.0	30396.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	231	74025	74025.0	32776.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	300	71451	71451.0	35445.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	179	71234	71216.0	14798.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	176	64134	64133.5	25604.5
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	221	62982	62982.0	36554.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	254	61851	61851.0	18520.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	212	58869	58869.0	28662.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	236	57615	57615.0	17786.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	208	55254	55254.0	19667.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	275	55011	55011.0	26719.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	257	51171	51171.0	26978.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	201	49417	49417.0	16000.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	163	47727	47727.0	19830.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	282	47724	47724.0	20739.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	169	45579	45578.5	13435.5
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	256	44663	44653.5	26949.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	195	44022	44022.0	20190.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	191	42627	42627.0	24289.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	142	39139	39139.0	23973.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	178	32190	32190.0	10387.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	150	31911	31911.0	10502.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	187	31683	31683.0	19644.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	141	31496	31496.0	16216.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	160	30481	30481.0	6242.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	236	30079	30079.0	17303.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	148	29300	29300.0	9841.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	139	28653	28647.0	18028.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	118	28458	28458.0	5767.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	63	27791	27761.166666666668	13932.916666666666
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	206	27591	27574.0	13082.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	162	25988	25988.0	12901.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	179	25893	25893.0	13188.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	147	25288	25288.0	10123.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	211	25199	25190.5	12790.5
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	183	24946	24922.5	16346.5
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	153	22787	22787.0	9106.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	146	22777	22728.0	10135.5
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	192	21532	21532.0	15971.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	102	20582	20582.0	11406.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	178	19966	19966.0	16002.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	103	19514	19514.0	11720.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	108	19341	19341.0	5730.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	171	18965	18965.0	7420.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	159	17955	17955.0	10965.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	110	18159	17892.0	8131.5
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	154	17884	17884.0	10012.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	90	17661	17661.0	12598.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	105	17042	17042.0	12221.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	148	17014	17014.0	7165.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	115	16967	16967.0	10293.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	93	16887	16887.0	9315.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	61	16786	16786.0	6997.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	88	16762	16762.0	11674.0
hsa-miR-605-3p:MIMAT0026621:Homo:sapiens:miR-605-3p	145	16433	16433.0	11656.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	154	16406	16406.0	13976.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	152	15943	15686.5	11181.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	106	15515	15513.666666666666	9129.666666666666
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	110	15400	15400.0	10950.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	118	15606	15352.000000000002	11058.000000000004
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	117	14924	14923.0	10595.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	159	14396	14396.0	7348.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	83	14201	14201.0	9184.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	114	13460	13460.0	8576.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	149	13343	13343.0	8028.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	119	13255	13255.0	6439.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	161	13152	13149.0	7488.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	96	12958	12958.0	10059.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	118	12770	12770.0	8352.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	90	13070	12727.216666666667	5528.799999999999
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	123	12604	12604.0	3413.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	137	11994	11994.0	6858.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	87	11982	11982.0	4191.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	66	11730	11730.0	3125.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	134	11372	11347.0	5972.5
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	152	10853	10853.0	7212.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	84	10850	10850.0	7456.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	89	10812	10812.0	7983.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	95	10467	10467.0	5720.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	110	10235	10235.0	4717.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	156	10128	10128.0	5536.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	99	10121	10121.0	3589.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	86	10087	10085.0	6606.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	108	9773	9773.0	5720.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	101	9693	9693.0	7723.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	124	9655	9655.0	6178.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	124	9633	9632.5	5809.5
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	77	9529	9529.0	7803.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	121	9487	9487.0	6897.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	113	9268	9267.5	4327.5
hsa-miR-378d:MIMAT0018926:Homo:sapiens:miR-378d	72	9438	9190.75	7271.749999999998
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	136	8974	8974.0	7024.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	119	8885	8885.0	7296.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	76	8784	8784.0	4283.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	108	8780	8780.0	7516.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	84	8685	8676.0	6734.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	84	8626	8626.0	3013.0
