ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	235	87200	87182.0	41017.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	162	86202	86202.0	24809.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	207	57156	57156.0	25985.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	291	55731	55731.0	29467.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	156	54128	54117.5	11872.5
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	273	52712	52712.0	23641.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	165	51938	51938.0	21608.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	239	49210	49210.0	15316.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	236	47478	47478.0	15432.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	209	46359	46359.0	28008.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	216	45885	45885.0	24170.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	152	40660	40660.0	16071.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	185	40287	40287.0	13811.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	191	35270	35270.0	14293.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	153	34825	34825.0	10703.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	237	34505	34505.0	15722.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	259	32624	32619.0	20399.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	198	31666	31666.0	15352.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	224	31415	31415.0	19003.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	139	31259	31259.0	20022.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	185	30805	30805.0	18515.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	142	29291	29291.0	14849.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	175	28349	28349.0	9294.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	138	27754	27748.0	17892.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	150	27424	27424.0	9310.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	159	27139	27139.0	9051.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	157	25463	25463.0	9675.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	51	24526	24504.333333333332	12110.833333333334
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	133	23528	23528.0	4812.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	112	23426	23426.0	5179.0
hsa-miR-362-5p:MIMAT0000705:Homo:sapiens:miR-362-5p	177	22979	22979.0	11898.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	169	21889	21889.0	14831.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	214	21786	21786.0	13267.0
