ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	184	105598	105574.5	13748.5
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	200	102481	102481.0	25207.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	179	69632	69631.5	21402.5
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	142	68632	68632.0	17864.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	186	60996	60979.0	20009.5
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	158	54331	54331.0	17689.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	207	54006	54006.0	16211.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	277	53986	53986.0	22568.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	174	52886	52886.0	12966.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	182	48653	48653.0	15926.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	132	38249	38249.0	16548.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	142	37486	37486.0	11877.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	234	35274	35274.0	11602.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	159	35102	35102.0	8330.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	177	35000	34996.5	13208.5
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	155	34100	34100.0	11084.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	117	32965	32965.0	7923.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	127	30745	30745.0	5054.0
