ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	208	134336	134336.0	32002.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	204	124857	124829.5	16626.5
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	214	100335	100334.0	27536.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	203	78432	78432.0	21677.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	309	74803	74803.0	28447.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	176	73094	73094.0	19592.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	252	69115	69115.0	18514.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	213	68119	68092.5	21412.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	207	66645	66645.0	13705.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	199	60001	60001.0	19139.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	166	56265	56265.0	15262.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	143	45420	45420.0	17899.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	177	45194	45194.0	12584.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	153	42611	42611.0	5842.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	193	39626	39626.0	13456.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	223	39575	39573.0	14580.5
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	160	38172	38172.0	8404.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	260	38109	38109.0	12956.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	132	37786	37786.0	8090.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	176	35354	35354.0	10768.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	202	35209	35209.0	16852.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	184	32134	32134.0	15667.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	130	31661	31661.0	8569.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	192	28762	28762.0	14535.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	161	25769	25741.5	8938.5
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	171	24053	24049.0	9326.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	115	23745	23745.0	7444.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	174	23681	23654.5	9571.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	96	24260	23331.666666666664	8302.183333333334
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	145	22932	22932.0	7212.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	86	22567	22567.0	4280.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	144	20828	20827.0	7207.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	178	19131	19131.0	10702.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	111	18353	18353.0	5505.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	117	18232	18074.749999999996	9202.750000000002
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	41	18069	18042.266666666666	7638.766666666666
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	158	17385	17385.0	7854.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	113	17172	17132.0	8317.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	120	16808	16808.0	4912.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	146	16621	16621.0	6195.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	108	16578	16578.0	8376.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	113	16184	16184.0	9829.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	88	16028	16028.0	10391.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	128	15903	15903.0	6731.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	88	15050	15050.0	5196.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	129	14628	14628.0	5492.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	99	14267	14267.0	7076.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	78	13742	13742.0	9007.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	97	13373	13373.0	6534.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	90	13356	13356.0	5446.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	100	12930	12930.0	4840.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	114	12957	12847.0	7801.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	128	12796	12796.0	5660.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	42	13053	12644.833333333334	5573.683333333333
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	60	12568	12568.0	5117.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	118	11179	11179.0	4431.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	121	10809	10809.0	6815.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	78	10351	10351.0	4148.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	80	10032	10032.0	5368.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	78	9724	9724.0	4564.0
