ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	109	25783	25783.0	10051.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	101	18186	18184.5	4737.5
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	89	16237	16237.0	6702.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	95	15289	15289.0	8745.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	153	15173	15173.0	8523.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	102	12677	12677.0	7234.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	107	11262	11262.0	5514.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	138	10316	10316.0	4235.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	98	10149	10149.0	4508.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	96	9466	9466.0	4873.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	72	9289	9289.0	4718.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	95	8588	8586.5	5399.5
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	87	8176	8176.0	3579.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	119	7899	7898.5	4435.5
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	101	7503	7503.0	4579.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	94	6221	6221.0	3180.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	72	6199	6199.0	1837.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	66	5887	5887.0	2470.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	75	5818	5818.0	4468.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	97	5711	5711.0	4554.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	88	5544	5544.0	2355.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	106	5250	5250.0	3327.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	92	5174	5174.0	3930.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	98	4748	4748.0	3608.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	98	4428	4428.0	3481.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	87	3818	3816.5	2403.5
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	66	3642	3642.0	2208.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	79	3518	3516.5	2223.5
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	83	3321	3321.0	2101.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	74	3262	3262.0	1781.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	69	3285	3253.6666666666674	2569.1666666666674
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	68	3243	3243.0	2147.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	53	3227	3227.0	2713.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	60	3167	3144.5	2527.5
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	73	3101	3101.0	1812.0
