ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	240	195185	195185.0	32528.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	198	124360	124360.0	30516.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	183	121899	121885.0	16338.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	348	112572	112572.0	30856.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	169	98948	98948.0	19929.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	245	86060	86060.0	20685.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	180	84680	84680.0	22401.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	189	71790	71790.0	14794.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	165	69712	69712.0	17255.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	176	66348	66348.0	15200.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	276	62541	62541.0	15741.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	230	54290	54289.0	16662.5
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	177	53678	53662.5	18424.5
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	188	53177	53177.0	17618.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	157	53095	53095.0	11534.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	234	48118	48118.0	20585.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	160	47758	47758.0	6729.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	187	47352	47352.0	12141.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	125	43060	43060.0	17131.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	129	40420	40420.0	9308.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	187	36460	36460.0	15772.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	197	34685	34685.0	12224.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	149	32161	32161.0	7426.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	200	32023	32023.0	14141.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	186	26829	26829.0	14055.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	156	26806	26790.5	10350.5
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	100	25947	25085.333333333325	8822.95000000001
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	139	23901	23887.5	8636.5
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	108	23913	23681.999999999993	10807.66666666667
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	130	23563	23562.5	7890.5
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	149	22059	22059.0	6842.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	122	21743	21743.0	11788.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	143	21483	21483.0	7385.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	88	20953	20953.0	12102.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	129	21071	20914.5	10558.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	141	20586	20586.0	6799.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	106	20575	20575.0	6724.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	138	20054	20054.0	7027.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	58	19755	19755.0	6795.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	158	19701	19696.5	7875.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	129	19687	19642.5	9115.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	128	19181	19181.0	7286.0
hsa-miR-369-3p:MIMAT0000721:Homo:sapiens:miR-369-3p	80	18716	18716.0	3776.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	107	18385	18385.0	7522.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	39	18148	18131.75	7276.25
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	76	17486	17486.0	5942.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	97	17423	17423.0	5834.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	138	16299	16299.0	5674.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	97	16280	16280.0	6389.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	102	16147	16147.0	4677.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	77	16020	16020.0	9694.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	48	16079	15674.81666666667	6344.766666666666
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	150	15227	15227.0	7472.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	120	14423	14423.0	4589.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	126	14163	14163.0	2910.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	95	14153	14153.0	7353.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	99	13873	13873.0	7081.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	124	13341	13341.0	8402.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	115	12408	12408.0	5780.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	78	12216	12206.0	5767.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	129	12040	12039.0	4284.5
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	105	11930	11930.0	4380.0
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	89	10831	10831.0	4701.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	87	10772	10772.0	5823.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	92	10632	10632.0	6186.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	79	10328	10328.0	4568.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	89	10111	10111.0	5098.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	78	9921	9921.0	4137.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	121	9915	9915.0	4637.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	117	9914	9914.0	6322.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	106	9709	9709.0	4523.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	107	9604	9604.0	5713.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	88	9387	9387.0	1723.0
hsa-miR-499a-5p:MIMAT0002870:Homo:sapiens:miR-499a-5p	61	9362	9362.0	2852.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	70	9194	9194.0	4760.0
hsa-miR-195-5p:MIMAT0000461:Homo:sapiens:miR-195-5p	73	9114	9114.0	4435.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	118	9095	9094.5	4706.5
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	120	8755	8755.0	5617.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	66	8698	8651.5	5015.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	113	8594	8589.5	3924.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	77	8587	8587.0	4558.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	124	8442	8442.0	3529.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	58	8214	8214.0	2687.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	105	7901	7896.5	5602.5
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	107	7690	7690.0	4393.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	94	7514	7514.0	3606.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	76	7444	7444.0	5166.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	80	7427	7424.5	3613.5
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	96	7395	7395.0	3979.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	74	6958	6958.0	4162.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	65	6888	6888.0	4739.0
hsa-miR-1-3p:MIMAT0000416:Homo:sapiens:miR-1-3p	82	6823	6823.0	3308.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	81	6792	6792.0	3682.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	67	6722	6722.0	1987.0
hsa-miR-338-3p:MIMAT0000763:Homo:sapiens:miR-338-3p	64	6693	6693.0	2132.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	71	6601	6601.0	2669.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	77	6505	6505.0	3028.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	96	6323	6323.0	3041.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	103	6285	6285.0	3558.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	114	6248	6248.0	2501.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	104	6221	6221.0	3217.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	85	6071	6011.166666666667	3559.5
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	84	5995	5995.0	4134.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	94	5932	5932.0	2797.0
hsa-miR-93-3p:MIMAT0004509:Homo:sapiens:miR-93-3p	94	5898	5898.0	2371.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	56	5861	5861.0	3740.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	78	5761	5748.166666666667	3865.0
hsa-miR-30b-5p:MIMAT0000420:Homo:sapiens:miR-30b-5p	77	5741	5737.0	2481.0
hsa-miR-208a-3p:MIMAT0000241:Homo:sapiens:miR-208a-3p	83	5694	5694.0	1390.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	67	5633	5633.0	1824.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	90	5625	5625.0	3591.0
hsa-miR-324-3p:MIMAT0000762:Homo:sapiens:miR-324-3p	54	5417	5417.0	2721.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	103	5357	5357.0	2949.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	76	5350	5310.166666666667	3712.5
hsa-miR-374b-5p:MIMAT0004955:Homo:sapiens:miR-374b-5p	70	5269	5213.5	1499.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	51	5198	5198.0	1442.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	60	5118	5118.0	3106.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	74	5118	5114.5	3161.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	79	5111	5099.5	2860.5
hsa-miR-128-3p:MIMAT0000424:Homo:sapiens:miR-128-3p	58	5095	5095.0	1848.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	76	5080	5080.0	2730.0
hsa-miR-425-3p:MIMAT0001343:Homo:sapiens:miR-425-3p	104	5061	5061.0	2909.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	25	5046	5046.0	3424.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	77	4968	4968.0	3438.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	64	4976	4958.5	2305.5
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	71	4936	4936.0	3358.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	60	4889	4889.0	2239.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	70	4875	4875.0	3296.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	89	4740	4740.0	2899.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	58	4730	4730.0	3570.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	63	4648	4647.5	1710.5
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	80	4524	4524.0	2709.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	69	4519	4513.0	1355.0
hsa-miR-30c-5p:MIMAT0000244:Homo:sapiens:miR-30c-5p	93	4484	4483.5	2743.5
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	81	4584	4449.0	1815.5
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	81	4435	4424.0	3066.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	67	4413	4413.0	2136.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	86	4304	4304.0	2387.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	88	4297	4297.0	2323.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	65	4265	4265.0	1533.0
hsa-miR-29b-3p:MIMAT0000100:Homo:sapiens:miR-29b-3p	75	4258	4253.5	2046.5
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	63	4231	4231.0	2323.0
hsa-miR-145-3p:MIMAT0004601:Homo:sapiens:miR-145-3p	46	4222	4222.0	1265.0
hsa-miR-222-3p:MIMAT0000279:Homo:sapiens:miR-222-3p	61	4120	4120.0	1621.0
hsa-miR-532-3p:MIMAT0004780:Homo:sapiens:miR-532-3p	70	4117	4117.0	2106.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	63	4107	4107.0	2592.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	69	4056	4056.0	3214.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	57	4043	4043.0	2524.0
