ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	256	691360	691359.3333333334	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	292	419571	419571.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	260	380604	380604.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	184	302145	302145.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	156	275892	275892.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	185	255349	255349.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	262	175574	175538.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	186	172983	172983.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	134	161058	161058.0	0.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	139	154852	154852.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	117	140111	140111.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	120	138233	138233.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	151	135582	135582.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	97	132191	132163.5	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	159	95682	95682.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	133	89459	89459.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	156	86060	85987.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	155	84348	84348.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	154	81666	81630.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	120	78068	78068.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	187	76578	76578.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	104	68687	68687.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	127	63875	63870.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	88	59397	59397.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	93	56889	56889.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	87	54447	54447.0	0.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	24	52048	52048.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	75	49689	49689.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	104	49629	49598.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	93	46226	46226.0	0.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	115	38776	38771.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	84	37282	37282.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	127	37083	37083.0	0.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	69	36638	35603.01666666667	0.0
