ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	204	349143	349143.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	245	316449	316449.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	182	279002	279002.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	205	148347	148347.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	120	147360	147360.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	126	124462	124462.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	153	120775	120775.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	93	82593	82593.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	98	67210	67210.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	100	55446	55446.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	114	55105	55105.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	118	50918	50918.0	0.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	100	49003	49003.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	169	45155	45133.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	67	41877	41869.5	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	120	35841	35841.0	0.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	22	30819	30819.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	79	28535	28535.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	73	28292	28292.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	99	27605	27580.5	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	100	26227	26205.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	68	25963	25963.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	110	25072	25072.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	54	19737	19737.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	81	19038	19038.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	112	18862	18862.0	0.0
