ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	379	987439	987319.5	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	198	927453	927453.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	371	813935	813935.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	253	487879	487878.3333333333	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	253	435773	435773.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	112	245577	245577.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	181	241464	241464.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	230	188023	188023.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	165	187027	187027.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	142	172576	172576.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	152	169831	169831.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	97	149245	149200.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	126	144976	144976.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	205	142842	142723.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	120	141741	141741.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	131	135989	135989.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	138	133558	133558.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	104	122105	122105.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	122	121210	121210.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	142	105170	105170.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	91	102967	102967.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	147	98995	98995.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	97	81118	81118.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	124	79623	79623.0	0.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	100	79392	79392.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	111	78884	78884.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	113	75236	75236.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	93	72980	72980.0	0.0
