ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	365	973425	973312.5	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	203	892256	892256.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	367	791858	791858.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	258	490248	490248.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	283	428793	428793.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	318	312488	312488.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	126	231692	231692.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	181	230009	230009.0	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	158	200752	200752.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	148	186794	186794.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	142	171987	171987.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	111	145048	145048.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	87	142840	142793.5	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	217	139141	139029.5	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	131	136126	136126.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	131	136025	136025.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	141	130369	130369.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	130	128415	128415.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	130	120511	120511.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	88	116246	116246.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	96	103242	103242.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	115	97817	97817.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	128	95955	95955.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	93	77712	77712.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	122	77458	77458.0	0.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	101	76556	76556.0	0.0
