ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	209	175414	175414.0	43118.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	237	149969	148844.25000000012	33596.74999999999
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	158	86625	86581.5	20318.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	188	72166	72166.0	25871.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	225	72029	72028.5	22328.5
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	175	70931	70631.0	23035.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	53	57216	56380.833333333336	15179.766666666666
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	149	51246	51246.0	14714.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	197	51230	51230.0	13933.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	166	43381	43381.0	17140.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	116	40301	40301.0	9924.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	118	38224	38224.0	5636.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	144	36326	36326.0	10638.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	177	33205	33205.0	14452.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	162	32770	32754.0	12961.5
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	170	32608	32608.0	12415.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	155	28653	28600.0	9355.5
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	158	26541	26541.0	9775.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	129	26425	26425.0	8500.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	144	26339	26310.0	6155.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	136	25971	25971.0	11357.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	146	25427	25427.0	4138.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	176	21268	21268.0	11263.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	105	21187	21187.0	9471.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	110	20202	20202.0	2610.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	118	19749	19749.0	6327.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	163	19653	19653.0	6633.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	91	19340	19340.0	8788.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	142	18961	18961.0	6889.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	103	18173	18173.0	4075.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	120	17453	17449.5	10647.5
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	116	17324	17324.0	6626.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	113	16568	16554.0	3085.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	130	15704	15704.0	8132.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	120	15525	15454.5	8397.5
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	106	14974	14974.0	7655.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	76	14864	14864.0	6980.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	109	14333	14333.0	8327.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	101	14075	14075.0	2382.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	127	13719	13719.0	5214.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	92	13538	13531.0	3492.5
