ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	159	114647	114647.0	34087.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	168	85581	85223.16666666658	24026.499999999985
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	134	52359	52336.5	14528.5
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	153	48408	48173.0	18098.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	142	46078	46078.0	19261.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	204	39465	39462.333333333336	15055.333333333334
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	49	33392	32861.38333333333	11356.216666666667
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	171	31703	31703.0	9982.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	125	29712	29712.0	10293.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	100	23461	23461.0	3990.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	123	22607	22607.0	11515.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	151	21931	21931.0	10634.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	86	21848	21848.0	6794.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	124	20415	20415.0	8906.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	128	18418	18418.0	6874.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	133	17578	17578.0	3142.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	142	17251	17251.0	7084.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	142	16111	16082.0	6284.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	118	16042	16036.0	7658.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	153	15842	15842.0	8455.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	94	15699	15699.0	7374.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	124	15374	15352.0	4181.5
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	121	15180	15180.0	7770.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	108	14119	14119.0	5482.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	137	13554	13554.0	4736.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	89	11986	11986.0	2944.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	118	11391	11391.0	6226.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	101	11274	11274.0	4130.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	85	11108	11108.0	1757.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	105	10935	10935.0	4898.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	118	10462	10462.0	4472.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	104	10112	10097.5	6934.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	74	9727	9727.0	5210.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	93	9484	9476.0	2143.5
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	82	9037	9037.0	5233.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	93	8309	8309.0	5309.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	83	8191	8191.0	1536.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	76	8095	8095.0	3782.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	86	7933	7932.0	2410.0
