ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	284	140414	140414.0	35288.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	268	123791	123010.91666666666	48451.08333333332
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	202	117691	117691.0	46787.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	245	107503	107412.5	40528.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	265	92641	92641.0	43593.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	267	92232	92232.0	35872.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	200	85341	85341.0	37543.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	301	82670	82667.0	29325.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	230	78707	78707.0	29554.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	248	68931	68493.0	32474.0
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	249	61080	61080.0	33087.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	211	60738	60738.0	27388.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	147	55421	55421.0	15413.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	164	46580	46580.0	25970.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	235	46468	46459.0	18326.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	142	46226	46226.0	16465.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	248	45830	45813.0	26683.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	221	43324	43292.0	21349.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	264	43263	43263.0	28956.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	208	39801	39801.0	15736.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	161	38938	38938.0	16461.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	195	38541	38541.0	26623.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	203	38388	38356.0	20855.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	203	38027	38026.0	18163.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	183	36395	36385.83333333333	6836.833333333333
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	178	35630	35630.0	18276.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	139	34965	34922.83333333333	12150.833333333332
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	179	34545	34545.0	14506.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	211	34069	34069.0	23287.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	161	33905	33783.5	12835.5
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	208	33625	33625.0	12901.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	247	33382	33382.0	18626.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	52	32901	32613.74761904762	13099.497619047619
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	143	32433	32433.0	12754.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	218	28691	28691.0	21169.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	117	27759	27759.0	16424.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	106	27457	27457.0	17626.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	137	26932	26842.0	16327.5
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	140	25271	25271.0	14627.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	198	25026	25026.0	9349.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	167	23177	23177.0	14084.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	133	22739	22738.5	6644.5
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	153	22262	22262.0	13921.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	157	21753	21753.0	9015.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	141	21221	21221.0	14865.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	127	21111	21111.0	10836.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	150	21391	20958.0	9783.5
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	110	19984	19984.0	12507.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	121	19549	19549.0	7714.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	214	19578	19423.5	11613.5
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	175	19125	19125.0	11579.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	178	18755	18755.0	9899.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	88	18733	18733.0	12857.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	141	17821	17821.0	14822.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	119	17458	17458.0	9792.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	115	17191	17146.333333333336	7562.333333333333
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	146	17141	17085.333333333332	11009.333333333334
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	147	16846	16846.0	9748.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	194	16870	16716.0	10498.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	187	16577	16577.0	10030.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	54	16190	16159.55	10387.05
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	138	16124	16119.5	12394.5
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	139	16066	16066.0	7815.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	109	15796	15796.0	10332.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	90	15692	15685.0	6822.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	104	15466	15466.0	11953.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	161	15282	15282.0	7531.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	90	15262	15262.0	9737.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	149	15236	15236.0	10558.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	136	15194	15194.0	6858.0
hsa-miR-4433a-5p:MIMAT0020956:Homo:sapiens:miR-4433a-5p	82	14764	14764.0	6937.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	94	14758	14758.0	11605.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	134	14076	14076.0	6086.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	159	14066	14066.0	10623.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	140	13911	13907.5	6650.5
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	117	13848	13848.0	4886.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	138	13581	13581.0	10187.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	141	13467	13467.0	9447.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	111	13436	13436.0	7303.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	82	13286	13286.0	8641.0
hsa-miR-18b-5p:MIMAT0001412:Homo:sapiens:miR-18b-5p	149	13157	13143.5	5004.0
hsa-miR-500a-5p:MIMAT0004773:Homo:sapiens:miR-500a-5p	102	13107	13105.0	3336.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	95	12854	12853.5	8208.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	128	12838	12838.0	9016.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	87	12682	12682.0	7850.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	137	12673	12673.0	5048.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	110	12516	12516.0	6072.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	115	12275	12275.0	5464.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	134	12059	12059.0	10664.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	48	12058	12007.0	9272.5
hsa-miR-29b-2-5p:MIMAT0004515:Homo:sapiens:miR-29b-2-5p	125	11939	11935.0	6241.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	101	11577	11577.0	5327.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	92	11568	11568.0	4861.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	105	11437	11437.0	6521.0
