ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	285	239284	239284.0	38908.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	264	200350	198989.5000000001	58458.000000000015
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	219	176532	176532.0	56904.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	331	159138	159133.0	39562.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	251	141717	141567.0	42323.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	284	134362	134362.0	55547.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	265	120578	120578.0	39606.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	243	120052	120051.5	35345.5
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	205	119279	119279.0	42061.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	257	103846	103129.5	41998.5
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	215	89266	89266.0	32433.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	169	73612	73612.0	35610.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	190	72164	72164.0	26731.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	161	71476	71476.0	16817.0
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	240	70853	70853.0	32821.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	241	62647	62639.0	21115.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	224	64554	62313.5	30312.5
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	276	59940	59940.0	36904.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	277	59914	59892.0	33006.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	153	59660	59660.0	23205.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	231	59208	59208.0	15335.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	217	56478	56478.0	31507.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	229	54826	54826.0	22456.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	228	51166	51127.5	23061.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	60	50884	50493.95	15852.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	184	48348	48348.0	14915.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	147	46471	46471.0	13379.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	210	46131	46131.0	17066.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	148	44979	44979.0	16855.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	123	44747	44712.0	12444.5
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	127	44428	44428.0	15150.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	164	42140	42129.833333333336	6375.833333333333
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	118	40983	40983.0	20315.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	182	38642	38486.0	13157.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	231	36555	36555.0	17992.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	225	36401	36401.0	24634.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	188	35404	35404.0	24882.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	151	34809	34809.0	17659.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	200	34602	34602.0	10691.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	114	32073	32073.0	14956.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	165	31430	30704.5	12519.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	126	29768	29768.0	13974.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	199	29363	29363.0	13883.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	136	29408	29258.5	15323.5
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	157	28659	28659.0	17928.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	103	28150	28150.0	16772.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	134	28043	28043.0	7076.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	187	26355	26178.0	12290.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	173	25940	25940.0	14441.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	155	25323	25247.416666666668	13939.083333333334
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	167	25075	25075.0	9748.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	111	24776	24776.0	7182.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	128	24741	24741.0	7176.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	120	24717	24716.5	17023.5
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	171	24545	24545.0	13132.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	65	23954	23909.199999999997	12358.7
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	137	23689	23689.0	18935.0
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	116	23583	23545.5	8517.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	154	23074	23070.5	15901.5
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	96	22906	22906.0	12610.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	103	22546	22546.0	15554.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	91	22398	22398.0	11233.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	129	22223	22223.0	12620.0
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	143	22219	22219.0	10949.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	149	21897	21897.0	13118.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	132	21875	21875.0	11458.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	182	21629	21629.0	14581.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	82	21614	21614.0	13425.0
hsa-miR-4433a-5p:MIMAT0020956:Homo:sapiens:miR-4433a-5p	96	20845	20845.0	7498.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	156	20836	20836.0	8221.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	170	20654	20654.0	17553.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	163	20249	20249.0	11561.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	97	20111	20111.0	9992.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	166	19939	19939.0	8541.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	131	19503	19503.0	6662.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	154	19365	19365.0	12805.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	156	19191	19191.0	8867.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	138	19101	19097.5	7268.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	122	19083	19083.0	9013.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	47	18910	18829.0	12024.5
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	94	18750	18750.0	12890.0
hsa-miR-500a-5p:MIMAT0004773:Homo:sapiens:miR-500a-5p	98	18406	18403.5	3578.5
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	86	18149	18143.5	5436.5
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	167	18111	18111.0	13125.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	126	17918	17918.0	6959.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	108	17271	17270.0	9429.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	119	16888	16888.0	6854.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	119	16884	16884.0	7178.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	119	16714	16701.0	12588.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	88	16380	16377.0	4984.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	99	16306	16306.0	9437.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	119	15706	15706.0	6143.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	59	15752	15574.666666666666	8473.333333333334
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	119	15436	15436.0	7084.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	159	15105	15105.0	7202.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	102	15099	15099.0	11941.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	147	14945	14945.0	6512.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	130	14906	14906.0	9786.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	109	14850	14850.0	8950.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	122	14627	14627.0	10175.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	108	14505	14505.0	4320.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	135	13930	13889.916666666666	8280.083333333334
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	149	13872	13872.0	6330.0
hsa-miR-145-3p:MIMAT0004601:Homo:sapiens:miR-145-3p	74	13689	13689.0	2746.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	111	13623	13623.0	8409.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	175	13549	13536.5	8010.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	128	13492	13492.0	6361.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	181	13379	13379.0	9303.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	141	13320	13320.0	10108.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	130	13049	13049.0	10689.0
hsa-miR-3184-5p:MIMAT0015064:Homo:sapiens:miR-3184-5p	129	12957	12957.0	6044.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	107	12849	12849.0	5303.0
hsa-miR-340-5p:MIMAT0004692:Homo:sapiens:miR-340-5p	103	12760	12760.0	9586.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	115	12679	12679.0	6445.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	100	12369	12240.0	3338.5
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	67	12149	12149.0	5900.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	141	12030	12030.0	5303.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	109	11993	11993.0	5896.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	149	11943	11943.0	7340.0
