ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	288	171976	171976.0	39239.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	259	141320	140535.75	51251.91666666668
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	230	130661	130661.0	49435.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	247	118596	118497.0	43105.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	295	100055	100055.0	45377.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	264	99670	99670.0	37231.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	321	97686	97683.0	31835.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	212	94607	94607.0	39031.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	233	83943	83943.0	30459.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	249	73064	72562.0	33415.0
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	237	65776	65776.0	33931.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	251	65509	65509.0	28389.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	158	62380	62380.0	16217.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	182	53970	53970.0	29040.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	257	51531	51510.5	28789.5
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	239	51010	51000.0	19802.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	277	49793	49793.0	32280.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	249	47388	47360.0	22452.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	143	44454	44454.0	15862.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	183	43505	43505.0	17301.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	226	43012	43012.0	16426.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	213	42409	42381.0	22472.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	218	42288	42287.5	19493.5
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	183	41018	41008.5	7245.5
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	137	39118	39072.0	12883.5
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	238	37804	37804.0	25262.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	169	37779	37779.0	19049.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	202	37750	37750.0	15015.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	157	37442	37442.0	13533.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	212	37263	37263.0	13374.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	183	37073	36951.5	13342.5
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	63	36928	36574.319047619036	13988.152380952382
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	199	35881	35881.0	25186.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	254	35242	35242.0	18979.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	126	30632	30632.0	17200.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	213	30041	30041.0	21722.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	143	28904	28805.0	17280.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	200	28654	28654.0	9988.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	153	27669	27669.0	15051.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	136	24878	24878.0	6885.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	153	24460	24460.0	16254.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	176	24322	24322.0	9902.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	167	24205	24205.0	14641.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	170	24200	24200.0	14128.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	150	23266	23266.0	11505.0
hsa-miR-101-3p:MIMAT0000099:Homo:sapiens:miR-101-3p	93	23238	23238.0	15188.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	149	23716	23201.0	10274.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	103	22326	22326.0	13470.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	126	21664	21664.0	8074.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	96	21029	21029.0	13972.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	197	20985	20985.0	12075.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	183	20313	20151.5	11554.5
hsa-miR-23b-3p:MIMAT0000418:Homo:sapiens:miR-23b-3p	107	19888	19832.5	8199.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	147	19678	19678.0	16244.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	181	19295	19295.0	9915.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	94	19133	19133.0	10226.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	157	18448	18379.833333333332	11566.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	62	18157	18118.3	10951.966666666667
hsa-miR-363-3p:MIMAT0000707:Homo:sapiens:miR-363-3p	143	18111	18111.0	9873.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	152	18002	18002.0	8307.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	148	17860	17857.0	13323.0
hsa-miR-376a-3p:MIMAT0000729:Homo:sapiens:miR-376a-3p	97	17850	17843.0	7059.5
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	159	17574	17574.0	7917.0
hsa-miR-2355-3p:MIMAT0017950:Homo:sapiens:miR-2355-3p	111	17551	17551.0	13182.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	152	17315	17315.0	11658.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	179	16965	16965.0	10390.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	104	16884	16884.0	12843.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	131	16746	16746.0	10528.0
hsa-miR-4433a-5p:MIMAT0020956:Homo:sapiens:miR-4433a-5p	92	16566	16566.0	7403.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	148	16507	16507.0	6553.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	84	16201	16201.0	10207.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	121	15675	15675.0	5141.0
hsa-miR-29a-3p:MIMAT0000086:Homo:sapiens:miR-29a-3p	147	15540	15537.0	7005.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	143	15196	15196.0	11022.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	83	15080	15080.0	9012.0
hsa-miR-148b-3p:MIMAT0000759:Homo:sapiens:miR-148b-3p	125	15002	15002.0	7785.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	161	14920	14920.0	10847.0
hsa-miR-500a-5p:MIMAT0004773:Homo:sapiens:miR-500a-5p	117	14911	14909.5	3622.5
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	142	14793	14793.0	10120.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	138	14726	14726.0	6717.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	106	14478	14477.0	8816.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	178	14326	14164.5	9130.5
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	121	14084	14084.0	9441.0
hsa-miR-199b-3p:MIMAT0004563:Homo:sapiens:miR-199b-3p|hsa-miR-199a-3p:MIMAT0000232:Homo:sapiens:miR-199a-3p	108	13935	13935.0	6481.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	124	13891	13891.0	5864.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	162	13721	13721.0	12060.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	90	13402	13402.0	7733.0
hsa-miR-205-5p:MIMAT0000266:Homo:sapiens:miR-205-5p	107	13316	13316.0	5193.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	45	13255	13212.5	9940.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	111	13109	13109.0	5754.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	135	12561	12561.0	4819.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	80	12539	12539.0	9539.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	79	12542	12537.5	4951.0
hsa-miR-501-3p:MIMAT0004774:Homo:sapiens:miR-501-3p	103	12351	12344.0	9588.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	157	12320	12309.0	7519.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	107	12262	12262.0	6517.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	163	12062	12062.0	8346.0
hsa-miR-211-5p:MIMAT0000268:Homo:sapiens:miR-211-5p	135	12059	12059.0	6733.0
hsa-miR-340-3p:MIMAT0000750:Homo:sapiens:miR-340-3p	131	11932	11932.0	9506.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	105	11931	11931.0	9920.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	156	11866	11866.0	8911.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	75	11578	11578.0	7476.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	142	11545	11412.0	3787.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	181	11399	11398.5	8917.5
