ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	271	194547	193538.0000000001	52975.16666666668
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	283	189664	189664.0	36366.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	198	173667	173667.0	53666.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	322	168608	168605.0	38379.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	231	158977	158862.0	42650.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	286	137183	137183.0	54088.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	257	127264	127264.0	37558.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	218	121442	121442.0	34803.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	192	110762	110762.0	39736.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	199	104970	104970.0	31658.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	228	103431	102585.5	39906.5
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	203	88112	88112.0	31918.0
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	258	87847	87847.0	39345.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	241	75457	75457.0	18735.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	168	74983	74983.0	32763.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	139	73794	73794.0	25187.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	229	71469	71189.0	31704.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	218	69568	69554.0	20814.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	133	67358	67358.0	17824.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	235	66915	66915.0	22852.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	205	66659	66659.0	20998.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	170	60388	60388.0	21038.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	199	58895	58895.0	33167.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	212	57360	57360.0	16812.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	233	57115	57100.0	28915.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	220	55782	55735.0	22832.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	250	55600	55600.0	31845.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	142	51182	51182.0	15483.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	56	50584	50151.92380952382	15935.67380952381
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	257	50148	50148.0	23836.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	158	49735	49735.0	14234.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	133	44558	44504.5	12646.5
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	185	44198	44031.5	14385.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	212	42700	42700.0	18131.0
hsa-miR-374a-5p:MIMAT0000727:Homo:sapiens:miR-374a-5p	153	41864	41859.0	6142.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	197	41370	41370.0	26455.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	115	39045	39045.0	18082.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	156	38270	38270.0	19109.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	211	36405	36405.0	23437.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	163	36127	36127.0	12450.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	154	35947	35947.0	8673.0
