ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	168	1387132	1386871.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	173	667205	667205.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	178	522998	522998.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	212	496302	496302.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	175	429345	429345.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	153	407847	407847.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	191	327459	327459.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	334	270940	270936.8333333334	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	159	241013	241013.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	216	231398	230571.0833333334	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	189	221738	221738.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	228	220757	220650.5	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	215	208551	208174.25	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	129	198496	198496.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	198	189490	189484.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	146	174289	174289.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	188	170296	170197.5	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	185	156558	156558.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	147	125717	125717.0	0.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	126	124113	124113.0	0.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	207	113824	113824.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	138	112129	112129.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	138	98918	98918.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	99	96631	96631.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	111	86947	86686.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	135	85758	85594.0	0.0
