ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	172	1566035	1565788.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	172	754575	754575.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	195	697364	697364.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	215	519419	519419.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	167	493505	493505.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	151	478865	478865.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	180	372898	372898.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	149	291268	291268.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	205	257920	257222.61666666676	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	184	247022	247022.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	265	237165	237161.33333333334	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	224	221035	220931.5	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	203	219867	219865.0	0.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	216	219829	219528.25	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	119	217359	217359.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	137	207475	207475.0	0.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	159	179532	179405.91666666666	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	149	165386	165386.0	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	173	156700	156700.0	0.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	174	124883	124883.0	0.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	120	115182	115182.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	140	113061	112899.0	0.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	125	109968	109968.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	153	105981	105981.0	0.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	102	98362	98362.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	126	97644	97644.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	103	92046	91800.0	0.0
hsa-miR-26a-5p:MIMAT0000082:Homo:sapiens:miR-26a-5p	127	91005	91005.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	126	87502	87502.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	165	81827	81827.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	206	81486	81486.0	0.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	135	70768	70768.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	79	69902	69902.0	0.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	141	66024	65949.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	86	64278	64278.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	110	61435	61435.0	0.0
hsa-miR-1180-3p:MIMAT0005825:Homo:sapiens:miR-1180-3p	107	61137	61137.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	147	58479	58479.0	0.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	161	58054	58054.0	0.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	129	57521	57521.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	94	55074	55074.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	104	52746	52746.0	0.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	143	50390	50390.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	124	49647	49647.0	0.0
hsa-miR-2110:MIMAT0010133:Homo:sapiens:miR-2110	101	47354	47354.0	0.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	118	45924	45924.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	118	44795	44784.5	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	98	43841	43841.0	0.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	100	42805	42805.0	0.0
hsa-miR-299-3p:MIMAT0000687:Homo:sapiens:miR-299-3p	114	37623	37623.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	87	37186	37186.0	0.0
hsa-miR-766-5p:MIMAT0022714:Homo:sapiens:miR-766-5p	105	36386	36386.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	115	35393	35393.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	99	35094	35094.0	0.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	86	35039	35037.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	91	34744	34744.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	73	34704	34704.0	0.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	101	34112	34112.0	0.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	97	33151	33151.0	0.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	109	32955	32901.5	0.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	95	32174	32174.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	111	30969	30969.0	0.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	87	28990	28990.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	74	28773	28773.0	0.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	133	28643	28345.0	0.0
hsa-miR-26b-5p:MIMAT0000083:Homo:sapiens:miR-26b-5p	74	28089	28089.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	135	26971	26969.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	136	25138	25137.0	0.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	91	23272	23272.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	92	23223	23223.0	0.0
hsa-miR-155-5p:MIMAT0000646:Homo:sapiens:miR-155-5p	103	22758	22758.0	0.0
hsa-miR-378b:MIMAT0014999:Homo:sapiens:miR-378b	34	22853	22720.2	0.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	109	21809	21689.5	0.0
hsa-miR-1246:MIMAT0005898:Homo:sapiens:miR-1246	21	21379	21378.5	0.0
hsa-miR-320a:MIMAT0000510:Homo:sapiens:miR-320a	105	21640	20409.58333333332	0.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	119	18551	18551.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	90	18176	18176.0	0.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	55	17766	17766.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	61	17687	17687.0	0.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	67	18461	17303.883333333324	0.0
hsa-miR-146a-5p:MIMAT0000449:Homo:sapiens:miR-146a-5p	61	17080	17076.5	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	62	16832	16832.0	0.0
hsa-miR-134-5p:MIMAT0000447:Homo:sapiens:miR-134-5p	94	16283	16283.0	0.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	99	15819	15819.0	0.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	78	15459	15454.0	0.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	77	14255	14255.0	0.0
hsa-miR-421:MIMAT0003339:Homo:sapiens:miR-421	88	14156	14156.0	0.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	90	14037	14037.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	64	12844	12844.0	0.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	61	12700	12700.0	0.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	82	12423	12261.0	0.0
hsa-miR-320b:MIMAT0005792:Homo:sapiens:miR-320b	95	13110	11879.58333333334	0.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	53	11231	11142.0	0.0
hsa-miR-16-5p:MIMAT0000069:Homo:sapiens:miR-16-5p	77	10749	10749.0	0.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	51	10562	10562.0	0.0
hsa-miR-744-5p:MIMAT0004945:Homo:sapiens:miR-744-5p	84	10065	10065.0	0.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	56	9899	9899.0	0.0
hsa-miR-9-5p:MIMAT0000441:Homo:sapiens:miR-9-5p	69	9863	9863.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	56	9641	9641.0	0.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	74	9545	9544.0	0.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	61	9456	9455.0	0.0
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	36	9465	9400.833333333334	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	54	9009	9009.0	0.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	36	9077	8724.050000000001	0.0
hsa-miR-136-3p:MIMAT0004606:Homo:sapiens:miR-136-3p	60	8722	8722.0	0.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	99	8819	8699.5	0.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	65	7931	7931.0	0.0
hsa-miR-130b-3p:MIMAT0000691:Homo:sapiens:miR-130b-3p	66	7527	7527.0	0.0
hsa-miR-574-3p:MIMAT0003239:Homo:sapiens:miR-574-3p	46	7477	7477.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	46	7473	7473.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	49	7080	7080.0	0.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	65	6763	6761.5	0.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	29	6394	6379.333333333333	0.0
hsa-miR-424-3p:MIMAT0004749:Homo:sapiens:miR-424-3p	50	6196	6196.0	0.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	57	6115	6115.0	0.0
hsa-miR-942-5p:MIMAT0004985:Homo:sapiens:miR-942-5p	57	5910	5910.0	0.0
hsa-miR-1307-5p:MIMAT0022727:Homo:sapiens:miR-1307-5p	57	5496	5496.0	0.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	59	5202	5202.0	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	38	5096	5096.0	0.0
hsa-miR-4433b-5p:MIMAT0030413:Homo:sapiens:miR-4433b-5p	42	4790	4790.0	0.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	57	4740	4739.0	0.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	70	4647	4647.0	0.0
hsa-miR-152-3p:MIMAT0000438:Homo:sapiens:miR-152-3p	30	4502	4502.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	34	4333	4287.0	0.0
hsa-miR-3615:MIMAT0017994:Homo:sapiens:miR-3615	37	4239	4239.0	0.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	45	4109	4104.0	0.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	52	3827	3827.0	0.0
