ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	206	1768415	1768052.5	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	244	803328	803328.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	289	749087	749086.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	216	645975	645975.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	147	562173	562173.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	206	367380	367380.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	280	358238	358222.5	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	167	307283	307283.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	184	273048	273008.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	189	215509	214973.5000000001	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	119	210383	210020.5	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	224	206071	206071.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	208	175296	175296.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	127	170926	170926.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	146	154150	154150.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	98	145832	145832.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	195	127605	127588.5	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	205	114147	114147.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	210	111373	111365.16666666667	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	122	110175	110175.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	96	104820	104820.0	0.0
