ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	221	1915579	1915196.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	240	822035	822035.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	268	811608	811608.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	238	756674	756674.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	134	446737	446737.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	241	415023	415023.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	282	361415	361404.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	169	343437	343437.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	198	269863	269280.5833333334	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	135	223731	223348.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	235	216072	216072.0	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	139	192356	192356.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	220	184686	184686.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	152	163764	163764.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	129	151555	151555.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	99	146753	146753.0	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	149	139743	139712.5	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	186	128484	128473.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	209	128208	128205.33333333333	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	115	128275	127081.5	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	102	116821	116821.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	203	116059	116059.0	0.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	98	107211	107211.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	146	103138	102994.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	89	94343	94343.0	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	111	89953	89953.0	0.0
