ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	276	50690	50690.0	21076.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	173	38957	38957.0	11818.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	170	33543	33543.0	11131.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	85	29960	29960.0	10507.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	193	29820	29820.0	6242.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	186	29688	29688.0	8658.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	191	27663	27663.0	7831.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	157	26105	26105.0	5592.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	172	25436	25436.0	6207.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	170	25403	25403.0	12219.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	161	24014	24014.0	6841.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	100	23769	23769.0	7806.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	105	23697	23697.0	5141.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	169	23415	23414.5	10005.5
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	157	23043	23043.0	7286.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	106	22599	22596.0	7074.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	117	22193	22193.0	5288.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	157	21239	21239.0	9041.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	165	21204	21204.0	8559.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	163	21183	21183.0	9354.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	61	20543	20543.0	5364.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	156	20014	20014.0	3584.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	219	18098	18098.0	7391.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	115	18033	18033.0	7428.0
