ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	242	35105	35105.0	16364.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	145	28719	28719.0	10182.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	74	23092	23092.0	8624.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	143	22622	22622.0	8876.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	159	21852	21852.0	6991.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	164	21237	21237.0	6645.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	102	19971	19971.0	4778.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	164	19700	19700.0	4735.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	132	18260	18260.0	4291.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	141	17938	17938.0	7690.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	125	17428	17428.0	9362.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	152	17379	17379.0	5645.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	143	17366	17365.5	8280.5
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	108	16625	16625.0	6955.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	93	16307	16307.0	6204.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	98	16163	16160.0	5690.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	143	15991	15991.0	6130.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	136	15530	15530.0	7045.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	61	15203	15203.0	4487.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	140	14926	14926.0	4596.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	109	14499	14499.0	4933.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	134	13923	13923.0	7192.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	128	13308	13308.0	2802.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	88	13171	13171.0	3873.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	123	12871	12871.0	6532.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	105	12135	12135.0	4806.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	116	11925	11925.0	5521.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	70	11700	11700.0	6780.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	95	11482	11482.0	5856.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	174	11415	11415.0	5426.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	113	11363	11363.0	5858.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	121	10388	10382.5	4198.5
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	83	9381	9381.0	4543.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	92	9294	9294.0	5484.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	130	8794	8789.5	3805.5
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	90	8769	8769.0	4338.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	121	8578	8578.0	3348.0
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	53	8372	8372.0	4475.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	111	8259	8259.0	4221.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	92	8175	8175.0	4804.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	85	8219	8105.5	4567.5
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	118	7992	7992.0	3507.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	55	8023	7892.15	3833.1499999999996
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	85	7878	7878.0	3422.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	78	7835	7835.0	4443.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	91	7631	7631.0	3594.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	160	7544	7544.0	4107.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	119	7519	7519.0	3066.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	108	7367	7367.0	3769.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	29	7315	7312.833333333334	3230.3333333333335
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	123	7286	7286.0	3277.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	135	7207	7205.5	3796.5
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	72	6900	6897.5	3780.5
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	80	6604	6602.5	3702.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	124	6447	6447.0	3846.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	76	6268	6268.0	3164.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	102	6257	6257.0	3894.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	63	6186	6186.0	2666.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	76	6174	6174.0	2615.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	67	5795	5795.0	2997.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	89	5754	5753.5	3951.5
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	121	5542	5542.0	3555.0
hsa-miR-29a-5p:MIMAT0004503:Homo:sapiens:miR-29a-5p	66	5541	5541.0	3826.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	42	5518	5518.0	2488.0
hsa-miR-200b-3p:MIMAT0000318:Homo:sapiens:miR-200b-3p	45	5390	5390.0	2106.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	60	5212	5212.0	2560.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	81	5150	5150.0	2407.0
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	115	5033	5033.0	3042.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	108	4768	4768.0	2845.0
hsa-miR-203b-5p:MIMAT0019813:Homo:sapiens:miR-203b-5p	70	4607	4607.0	3937.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	76	4530	4530.0	2773.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	76	4527	4527.0	2410.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	70	4427	4427.0	2500.0
