ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	275	41449	41449.0	18910.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	186	31858	31858.0	11488.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	163	28302	28302.0	10368.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	198	26946	26946.0	6310.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	93	26421	26421.0	10403.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	170	25511	25511.0	5456.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	190	25456	25454.5	8426.5
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	202	25131	25131.0	8422.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	120	22999	22991.0	7150.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	118	22585	22585.0	5684.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	181	21620	21620.0	10199.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	169	21138	21138.0	8483.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	185	20493	20493.0	9881.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	157	20159	20159.0	6165.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	153	19869	19869.0	7199.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	114	19851	19851.0	7010.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	157	19810	19810.0	10654.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	153	19108	19108.0	5428.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	103	18954	18954.0	4947.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	151	18070	18070.0	6697.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	162	17796	17796.0	8115.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	66	17088	17088.0	4804.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	146	17064	17064.0	8107.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	155	16977	16977.0	7036.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	141	16596	16596.0	3108.0
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	144	16418	16418.0	8220.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	221	14509	14509.0	6509.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	141	13227	13218.5	5003.5
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	136	13164	13164.0	6777.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	87	12941	12941.0	7817.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	122	12773	12773.0	6928.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	149	12515	12515.0	4262.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	205	12377	12377.0	5790.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	110	11635	11635.0	6240.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	110	10540	10540.0	4939.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	142	10544	10536.5	4394.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	127	10511	10501.5	5791.5
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	123	10442	10442.0	4817.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	159	10348	10347.5	5161.5
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	149	10320	10320.0	4276.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	110	10214	10214.0	4874.0
