ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	267	37015	37015.0	17280.0
hsa-miR-671-5p:MIMAT0003880:Homo:sapiens:miR-671-5p	136	30566	30566.0	6792.0
hsa-miR-196b-5p:MIMAT0001080:Homo:sapiens:miR-196b-5p	180	30215	30215.0	10510.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	176	27092	27092.0	9810.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	181	25580	25580.0	5402.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	168	24651	24651.0	10116.0
hsa-let-7g-5p:MIMAT0000414:Homo:sapiens:let-7g-5p	196	23895	23895.0	9344.0
hsa-miR-302a-3p:MIMAT0000684:Homo:sapiens:miR-302a-3p	185	22746	22746.0	9697.0
hsa-miR-103b:MIMAT0007402:Homo:sapiens:miR-103b	174	22421	22421.0	7724.0
hsa-miR-342-5p:MIMAT0004694:Homo:sapiens:miR-342-5p	162	21209	21209.0	6624.0
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	171	20879	20879.0	5812.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	83	19898	19898.0	8279.0
hsa-miR-543:MIMAT0004954:Homo:sapiens:miR-543	150	19546	19546.0	4555.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	172	18904	18904.0	6421.0
hsa-miR-30a-5p:MIMAT0000087:Homo:sapiens:miR-30a-5p	183	17731	17730.5	6150.5
hsa-miR-20a-3p:MIMAT0004493:Homo:sapiens:miR-20a-3p	155	17295	17295.0	8579.0
hsa-miR-299-5p:MIMAT0002890:Homo:sapiens:miR-299-5p	156	17089	17089.0	3069.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	138	16612	16612.0	9309.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	106	16375	16375.0	6417.0
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	165	15265	15265.0	7665.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	94	15109	15104.0	5334.0
hsa-let-7e-5p:MIMAT0000066:Homo:sapiens:let-7e-5p	156	15113	15097.5	5426.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	104	14150	14150.0	3818.0
hsa-miR-193a-5p:MIMAT0004614:Homo:sapiens:miR-193a-5p	171	13969	13969.0	5193.0
hsa-miR-221-3p:MIMAT0000278:Homo:sapiens:miR-221-3p	138	13600	13600.0	5527.0
hsa-miR-193b-5p:MIMAT0004767:Homo:sapiens:miR-193b-5p	151	13197	13197.0	5048.0
hsa-miR-432-5p:MIMAT0002814:Homo:sapiens:miR-432-5p	130	13023	13023.0	6129.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	197	12821	12821.0	5875.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	197	12719	12719.0	5811.0
hsa-miR-28-5p:MIMAT0000085:Homo:sapiens:miR-28-5p	127	12703	12703.0	5551.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	60	12500	12500.0	4002.0
hsa-miR-339-5p:MIMAT0000764:Homo:sapiens:miR-339-5p	150	12371	12371.0	4434.0
hsa-miR-20a-5p:MIMAT0000075:Homo:sapiens:miR-20a-5p	155	12284	12274.5	4890.0
hsa-miR-652-3p:MIMAT0003322:Homo:sapiens:miR-652-3p	143	11478	11478.0	5874.0
hsa-miR-1273a:MIMAT0005926:Homo:sapiens:miR-1273a	102	10688	10688.0	4001.0
hsa-miR-660-5p:MIMAT0003338:Homo:sapiens:miR-660-5p	133	10628	10628.0	5040.0
hsa-miR-301a-3p:MIMAT0000688:Homo:sapiens:miR-301a-3p	150	10410	10410.0	4877.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	112	10171	10171.0	3930.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	114	9854	9854.0	5306.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	116	9353	9353.0	4263.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	91	9160	9160.0	3801.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	108	9048	9048.0	5297.0
hsa-miR-199b-5p:MIMAT0000263:Homo:sapiens:miR-199b-5p	85	8520	8518.0	4495.0
hsa-miR-185-3p:MIMAT0004611:Homo:sapiens:miR-185-3p	80	8416	8416.0	3624.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	80	8228	8228.0	3766.0
hsa-miR-15b-3p:MIMAT0004586:Homo:sapiens:miR-15b-3p	106	8191	8191.0	3148.0
hsa-miR-126-3p:MIMAT0000445:Homo:sapiens:miR-126-3p	160	8102	8102.0	4497.0
hsa-miR-338-5p:MIMAT0004701:Homo:sapiens:miR-338-5p	63	8065	8065.0	5288.0
hsa-miR-449a:MIMAT0001541:Homo:sapiens:miR-449a	94	8133	8049.5	4644.5
hsa-miR-4433a-3p:MIMAT0018949:Homo:sapiens:miR-4433a-3p	88	7705	7705.0	3819.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	101	7552	7552.0	3812.0
hsa-miR-30d-5p:MIMAT0000245:Homo:sapiens:miR-30d-5p	138	7494	7493.5	2909.5
hsa-miR-142-5p:MIMAT0000433:Homo:sapiens:miR-142-5p	51	7427	7427.0	3931.0
hsa-miR-15a-5p:MIMAT0000068:Homo:sapiens:miR-15a-5p	98	7359	7359.0	2740.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	86	7015	7015.0	3319.0
hsa-miR-25-3p:MIMAT0000081:Homo:sapiens:miR-25-3p	101	6931	6931.0	4298.0
hsa-miR-130a-3p:MIMAT0000425:Homo:sapiens:miR-130a-3p	130	6803	6803.0	3955.0
hsa-miR-208a-3p:MIMAT0000241:Homo:sapiens:miR-208a-3p	96	6485	6485.0	2797.0
hsa-miR-320c:MIMAT0005793:Homo:sapiens:miR-320c	63	6584	6444.933333333333	3383.9333333333334
hsa-miR-346:MIMAT0000773:Homo:sapiens:miR-346	134	6270	6270.0	3863.0
hsa-miR-29a-5p:MIMAT0004503:Homo:sapiens:miR-29a-5p	67	6227	6227.0	4172.0
hsa-miR-301b-3p:MIMAT0004958:Homo:sapiens:miR-301b-3p	105	6112	6112.0	3014.0
hsa-miR-210-3p:MIMAT0000267:Homo:sapiens:miR-210-3p	125	6023	6023.0	3318.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	96	5974	5974.0	3365.0
hsa-miR-4521:MIMAT0019058:Homo:sapiens:miR-4521	73	5783	5783.0	3632.0
hsa-miR-664a-5p:MIMAT0005948:Homo:sapiens:miR-664a-5p	98	5603	5603.0	3701.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	84	5445	5445.0	2710.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	72	5372	5367.5	3255.5
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	78	5221	5221.0	2801.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	103	5003	5003.0	3252.0
hsa-miR-369-5p:MIMAT0001621:Homo:sapiens:miR-369-5p	108	4997	4997.0	2849.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	99	4990	4987.5	3483.0
hsa-miR-378e:MIMAT0018927:Homo:sapiens:miR-378e	37	4924	4920.75	2533.75
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	70	4692	4692.0	3059.0
hsa-miR-197-3p:MIMAT0000227:Homo:sapiens:miR-197-3p	80	4623	4623.0	3461.0
hsa-miR-203b-5p:MIMAT0019813:Homo:sapiens:miR-203b-5p	76	4582	4582.0	3899.0
hsa-miR-362-3p:MIMAT0004683:Homo:sapiens:miR-362-3p	69	4424	4424.0	1413.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	76	4247	4247.0	2430.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	74	4193	4193.0	1785.0
hsa-miR-24-3p:MIMAT0000080:Homo:sapiens:miR-24-3p	71	4184	4184.0	1780.0
hsa-miR-212-3p:MIMAT0000269:Homo:sapiens:miR-212-3p	37	4183	4183.0	2043.0
hsa-miR-139-5p:MIMAT0000250:Homo:sapiens:miR-139-5p	78	4175	4175.0	2465.0
hsa-miR-218-5p:MIMAT0000275:Homo:sapiens:miR-218-5p	57	4153	4153.0	1839.0
hsa-miR-455-3p:MIMAT0004784:Homo:sapiens:miR-455-3p	76	4133	4133.0	2276.0
hsa-miR-766-5p:MIMAT0022714:Homo:sapiens:miR-766-5p	73	4069	4069.0	2633.0
hsa-miR-1301-3p:MIMAT0005797:Homo:sapiens:miR-1301-3p	65	4060	4060.0	2116.0
hsa-let-7a-5p:MIMAT0000062:Homo:sapiens:let-7a-5p	72	4016	4003.0	2210.5
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	64	4002	4002.0	2163.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	82	3989	3966.0	1745.5
hsa-miR-324-3p:MIMAT0000762:Homo:sapiens:miR-324-3p	44	3957	3957.0	2338.0
hsa-miR-484:MIMAT0002174:Homo:sapiens:miR-484	80	3915	3915.0	2399.0
hsa-miR-425-5p:MIMAT0003393:Homo:sapiens:miR-425-5p	97	3914	3914.0	2710.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	68	3906	3906.0	1918.0
hsa-miR-532-3p:MIMAT0004780:Homo:sapiens:miR-532-3p	90	3902	3902.0	3055.0
