ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	174	34346	34346.0	10591.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	124	30428	30428.0	7007.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	164	27338	27338.0	8160.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	122	25703	25703.0	10402.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	163	23610	23609.0	7821.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	165	23646	23534.166666666668	10757.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	124	21882	21882.0	9624.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	125	19284	19284.0	4593.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	193	27628	19112.0	6775.5
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	161	17948	17948.0	6944.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	77	17904	17904.0	6907.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	104	17583	17579.5	4958.5
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	105	16890	16890.0	7837.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	164	16571	16571.0	7317.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	119	15373	15373.0	4763.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	28	14935	14912.416666666666	6023.416666666667
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	102	14578	14578.0	5260.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	143	14330	14330.0	6401.0
