ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	211	47986	47986.0	12585.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	175	42363	42363.0	8395.0
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	219	37116	37116.0	10723.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	201	37001	37001.0	10879.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	204	30469	30317.999999999996	12949.333333333334
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	139	28689	28689.0	11397.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	191	27120	27120.0	9987.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	252	26795	26795.0	10864.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	207	26455	26455.0	9177.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	159	26177	26177.0	10866.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	192	25814	25814.0	9875.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	257	33998	25171.0	9040.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	198	23958	23958.0	6657.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	139	23531	23531.0	5844.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	156	20442	20442.0	6002.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	115	20424	20424.0	8150.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	188	20219	20219.0	7976.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	119	19675	19675.0	8673.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	163	19636	19636.0	7589.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	136	19214	19214.0	6648.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	148	17422	17405.0	9279.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	125	17099	17095.0	5247.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	155	17163	17060.0	5784.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	100	16149	16149.0	5611.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	148	15313	15313.0	6251.0
hsa-miR-188-3p:MIMAT0004613:Homo:sapiens:miR-188-3p	109	15081	15081.0	6096.0
