ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	152	32421	32421.0	9460.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	131	31042	31042.0	6913.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	214	30344	27056.0	9910.5
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	120	26862	26862.0	10702.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	165	25524	25522.5	8590.5
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	176	24889	24889.0	8499.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	162	22571	22499.666666666664	10291.166666666666
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	159	22057	22057.0	10381.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	172	20176	20176.0	7768.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	103	19352	19352.0	8980.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	108	18736	18736.0	4923.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	152	18521	18521.0	7639.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	133	17705	17705.0	8502.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	154	17682	17682.0	7510.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	199	17254	17252.833333333336	7990.833333333333
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	171	16664	16664.0	5258.0
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	126	16372	16363.5	6033.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	110	16300	16300.0	4986.0
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	149	16032	16032.0	6594.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	106	15648	15648.0	4575.0
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	133	15576	15576.0	6333.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	146	15439	15439.0	5991.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	154	13903	13903.0	6246.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	127	13410	13341.0	4821.5
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	129	13288	13288.0	5810.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	93	12987	12987.0	4954.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	118	11754	11740.166666666668	7249.166666666667
hsa-miR-188-3p:MIMAT0004613:Homo:sapiens:miR-188-3p	89	11564	11564.0	4934.0
hsa-miR-140-5p:MIMAT0000431:Homo:sapiens:miR-140-5p	126	10701	10701.0	5021.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	104	10287	10287.0	6857.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	103	10032	10032.0	4732.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	95	9536	9536.0	3414.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	144	9394	9394.0	4257.0
hsa-miR-23a-3p:MIMAT0000078:Homo:sapiens:miR-23a-3p	63	9233	9229.0	5142.0
hsa-miR-18b-5p:MIMAT0001412:Homo:sapiens:miR-18b-5p	143	9224	9219.5	4980.5
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	31	9143	9101.45	5117.05
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	91	9126	9076.5	4306.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	78	8793	8793.0	3192.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	103	8800	8713.0	3398.0
hsa-miR-29b-2-5p:MIMAT0004515:Homo:sapiens:miR-29b-2-5p	118	8480	8476.5	4425.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	97	8461	8461.0	5189.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	78	8220	8220.0	2150.0
hsa-miR-18a-5p:MIMAT0000072:Homo:sapiens:miR-18a-5p	130	7884	7879.5	3542.5
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	68	7728	7728.0	4591.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	117	7377	7288.833333333333	2743.833333333333
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	97	7217	7212.166666666667	5294.166666666666
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	125	7175	7175.0	3602.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	96	7262	7175.0	3569.5
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	92	6871	6871.0	3517.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	91	6558	6558.0	4346.0
hsa-miR-145-5p:MIMAT0000437:Homo:sapiens:miR-145-5p	70	6470	6470.0	3252.0
hsa-miR-485-3p:MIMAT0002176:Homo:sapiens:miR-485-3p	92	6245	6245.0	2688.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	71	6188	6188.0	3097.0
hsa-miR-590-5p:MIMAT0003258:Homo:sapiens:miR-590-5p	112	6107	6107.0	3495.0
