ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	191	49180	49180.0	13495.0
hsa-miR-188-5p:MIMAT0000457:Homo:sapiens:miR-188-5p	163	44253	44253.0	9093.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	177	37923	37922.5	11124.5
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	193	36611	36611.0	10683.0
hsa-miR-451a:MIMAT0001631:Homo:sapiens:miR-451a	156	35099	35099.0	13169.0
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	246	36563	30872.5	10816.5
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	189	28094	27999.16666666666	13060.16666666667
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	151	27826	27826.0	11832.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	175	26119	26119.0	9273.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	108	24628	24628.0	9420.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	190	23588	23588.0	9780.0
hsa-miR-3184-3p:MIMAT0022731:Homo:sapiens:miR-3184-3p	179	23128	23128.0	9670.0
hsa-miR-185-5p:MIMAT0000455:Homo:sapiens:miR-185-5p	136	22576	22575.5	6005.5
hsa-miR-200a-3p:MIMAT0000682:Homo:sapiens:miR-200a-3p	139	21107	21099.0	6350.5
hsa-miR-7-5p:MIMAT0000252:Homo:sapiens:miR-7-5p	131	20416	20416.0	7137.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	212	19892	19892.0	8993.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	112	19874	19874.0	8838.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	139	19872	19872.0	5967.0
hsa-miR-19b-3p:MIMAT0000074:Homo:sapiens:miR-19b-3p	179	19587	19587.0	6133.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	160	18980	18980.0	7769.0
hsa-let-7c-5p:MIMAT0000064:Homo:sapiens:let-7c-5p	135	18041	18027.0	9734.0
hsa-miR-324-5p:MIMAT0000761:Homo:sapiens:miR-324-5p	146	17921	17921.0	7699.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	127	17364	17364.0	6819.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	35	17283	17246.333333333332	7304.583333333334
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	149	16417	16333.0	5887.5
hsa-miR-21-5p:MIMAT0000076:Homo:sapiens:miR-21-5p	122	16298	16298.0	7069.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	124	15243	15243.0	7810.0
hsa-miR-140-5p:MIMAT0000431:Homo:sapiens:miR-140-5p	142	14524	14524.0	6618.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	105	14256	14256.0	5493.0
hsa-miR-188-3p:MIMAT0004613:Homo:sapiens:miR-188-3p	111	14053	14053.0	6332.0
hsa-miR-885-5p:MIMAT0004947:Homo:sapiens:miR-885-5p	125	13356	13356.0	4791.0
hsa-miR-144-5p:MIMAT0004600:Homo:sapiens:miR-144-5p	118	13218	13218.0	6170.0
hsa-miR-18b-5p:MIMAT0001412:Homo:sapiens:miR-18b-5p	160	11998	11995.0	6390.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	98	11853	11853.0	7969.0
hsa-miR-29b-2-5p:MIMAT0004515:Homo:sapiens:miR-29b-2-5p	116	11452	11448.0	5729.0
hsa-let-7b-5p:MIMAT0000063:Homo:sapiens:let-7b-5p	121	11236	11230.0	7421.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	145	11126	11126.0	4761.0
hsa-miR-18a-5p:MIMAT0000072:Homo:sapiens:miR-18a-5p	145	11090	11087.0	4654.0
hsa-miR-499b-3p:MIMAT0019898:Homo:sapiens:miR-499b-3p	86	11057	11057.0	4137.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	80	10873	10873.0	4448.0
hsa-miR-15b-5p:MIMAT0000417:Homo:sapiens:miR-15b-5p	99	10823	10823.0	4083.0
hsa-miR-103a-3p:MIMAT0000101:Homo:sapiens:miR-103a-3p	135	9830	9726.0	3961.0
hsa-miR-98-5p:MIMAT0000096:Homo:sapiens:miR-98-5p	114	9672	9672.0	6047.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	79	9564	9564.0	5339.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	124	9515	9515.0	4439.0
hsa-miR-107:MIMAT0000104:Homo:sapiens:miR-107	124	9527	9423.5	3598.5
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	111	8583	8583.0	4880.0
hsa-miR-133a-3p:MIMAT0000427:Homo:sapiens:miR-133a-3p	114	8499	8410.0	4019.5
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	78	8336	8336.0	4069.0
