ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	903	41371649	4.1371649E7	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	680	4614473	4614473.0	0.0
hsa-miR-184:MIMAT0000454:Homo:sapiens:miR-184	937	3715767	3715767.0	0.0
hsa-miR-629-5p:MIMAT0004810:Homo:sapiens:miR-629-5p	666	3674893	3674893.0	0.0
hsa-miR-129-5p:MIMAT0000242:Homo:sapiens:miR-129-5p	573	2712452	2712452.0	0.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	993	2165871	2165871.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	750	2149148	2149148.0	0.0
hsa-miR-183-5p:MIMAT0000261:Homo:sapiens:miR-183-5p	631	1970987	1970949.0	0.0
hsa-miR-223-5p:MIMAT0004570:Homo:sapiens:miR-223-5p	782	1913852	1913852.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	643	1803598	1803598.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	1251	1682743	1681660.9999999995	0.0
hsa-miR-122-5p:MIMAT0000421:Homo:sapiens:miR-122-5p	629	1628401	1628401.0	0.0
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	401	1499707	1499707.0	0.0
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	361	1496673	1496673.0	0.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	880	1473260	1471300.5	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	434	1392040	1391206.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	621	1286938	1286938.0	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	610	1222940	1222940.0	0.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	924	1161730	1161722.5	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	706	1139932	1109784.1499999983	0.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	638	1082298	1082298.0	0.0
hsa-miR-204-3p:MIMAT0022693:Homo:sapiens:miR-204-3p	396	1009269	1009269.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	584	951303	951303.0	0.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	406	925742	925742.0	0.0
hsa-miR-576-3p:MIMAT0004796:Homo:sapiens:miR-576-3p	430	863605	863605.0	0.0
