ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	207	456831	456112.0	0.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	219	253023	253023.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	187	153519	153519.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	196	151222	150853.5000000001	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	187	100365	100365.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	133	99339	99339.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	172	90940	90940.0	0.0
hsa-miR-3929:MIMAT0018206:Homo:sapiens:miR-3929	164	80792	80792.0	0.0
hsa-miR-449b-5p:MIMAT0003327:Homo:sapiens:miR-449b-5p	155	60937	60805.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	187	58689	58687.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	118	58183	57464.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	123	57153	57153.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	114	55899	55381.5	0.0
hsa-miR-7974:MIMAT0031177:Homo:sapiens:miR-7974	134	54398	54398.0	0.0
hsa-miR-6852-5p:MIMAT0027604:Homo:sapiens:miR-6852-5p	100	53166	53166.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	113	49987	49987.0	0.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	184	46964	46962.66666666667	0.0
hsa-let-7f-5p:MIMAT0000067:Homo:sapiens:let-7f-5p	132	41510	41506.0	0.0
hsa-miR-941:MIMAT0004984:Homo:sapiens:miR-941	114	38073	38073.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	121	37167	37167.0	0.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	194	34552	34552.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	131	33547	33547.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	154	33521	33521.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	119	31020	31020.0	0.0
hsa-miR-186-5p:MIMAT0000456:Homo:sapiens:miR-186-5p	83	30658	30658.0	0.0
