ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	45	79921	79921.0	0.0
hsa-miR-10b-5p:MIMAT0000254:Homo:sapiens:miR-10b-5p	263	62094	62090.0	0.0
hsa-miR-769-5p:MIMAT0003886:Homo:sapiens:miR-769-5p	114	56711	56711.0	0.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	257	49608	49608.0	0.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	306	48722	48721.5	0.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	200	45030	45030.0	0.0
hsa-miR-604:MIMAT0003272:Homo:sapiens:miR-604	44	44159	44159.0	0.0
hsa-miR-300:MIMAT0004903:Homo:sapiens:miR-300	150	42850	42850.0	0.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	179	41548	41548.0	0.0
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	152	41465	41432.0	0.0
hsa-miR-181c-5p:MIMAT0000258:Homo:sapiens:miR-181c-5p	200	40998	40997.5	0.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	88	39854	39854.0	0.0
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	147	36349	36349.0	0.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	169	34151	34150.0	0.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	189	33650	33578.0	0.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	208	33477	33477.0	0.0
hsa-miR-892a:MIMAT0004907:Homo:sapiens:miR-892a	101	32445	32445.0	0.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	141	31456	31456.0	0.0
hsa-miR-411-5p:MIMAT0003329:Homo:sapiens:miR-411-5p	176	31293	31293.0	0.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	227	28699	28691.5	0.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	194	27716	27716.0	0.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	190	27398	27398.0	0.0
hsa-miR-182-5p:MIMAT0000259:Homo:sapiens:miR-182-5p	364	26922	26922.0	0.0
hsa-miR-215-5p:MIMAT0000272:Homo:sapiens:miR-215-5p	115	26010	25938.5	0.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	125	25491	25491.0	0.0
hsa-miR-375:MIMAT0000728:Homo:sapiens:miR-375	240	25412	25412.0	0.0
hsa-miR-646:MIMAT0003316:Homo:sapiens:miR-646	31	22043	22043.0	0.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	106	21454	21337.16666666666	0.0
hsa-miR-22-3p:MIMAT0000077:Homo:sapiens:miR-22-3p	122	20952	20952.0	0.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	122	19864	19864.0	0.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	138	19676	19676.0	0.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	84	19231	19231.0	0.0
hsa-miR-191-5p:MIMAT0000440:Homo:sapiens:miR-191-5p	173	18111	18111.0	0.0
hsa-miR-30e-3p:MIMAT0000693:Homo:sapiens:miR-30e-3p	104	17661	17647.0	0.0
hsa-miR-517-5p:MIMAT0002851:Homo:sapiens:miR-517-5p	91	17017	17014.0	0.0
hsa-miR-454-5p:MIMAT0003884:Homo:sapiens:miR-454-5p	93	16864	16864.0	0.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	189	16290	16290.0	0.0
hsa-miR-512-3p:MIMAT0002823:Homo:sapiens:miR-512-3p	115	16009	16009.0	0.0
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	119	15496	15496.0	0.0
hsa-miR-640:MIMAT0003310:Homo:sapiens:miR-640	116	14639	14639.0	0.0
hsa-miR-423-5p:MIMAT0004748:Homo:sapiens:miR-423-5p	136	14538	14538.0	0.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	129	14939	14522.5	0.0
hsa-miR-589-3p:MIMAT0003256:Homo:sapiens:miR-589-3p	171	14387	14387.0	0.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	177	14245	14245.0	0.0
hsa-miR-634:MIMAT0003304:Homo:sapiens:miR-634	118	13395	13395.0	0.0
hsa-miR-381-3p:MIMAT0000736:Homo:sapiens:miR-381-3p	142	12930	12930.0	0.0
hsa-miR-383-5p:MIMAT0000738:Homo:sapiens:miR-383-5p	122	12872	12872.0	0.0
hsa-miR-877-5p:MIMAT0004949:Homo:sapiens:miR-877-5p	63	12857	12857.0	0.0
hsa-miR-34c-5p:MIMAT0000686:Homo:sapiens:miR-34c-5p	170	12282	12282.0	0.0
hsa-miR-181b-5p:MIMAT0000257:Homo:sapiens:miR-181b-5p	154	12173	12172.5	0.0
hsa-miR-30a-3p:MIMAT0000088:Homo:sapiens:miR-30a-3p	106	11920	11906.0	0.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	110	11770	11770.0	0.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	95	11755	11755.0	0.0
hsa-miR-644a:MIMAT0003314:Homo:sapiens:miR-644a	30	11650	11650.0	0.0
hsa-miR-493-3p:MIMAT0003161:Homo:sapiens:miR-493-3p	96	11283	11283.0	0.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	99	11073	11073.0	0.0
hsa-miR-588:MIMAT0003255:Homo:sapiens:miR-588	60	10927	10927.0	0.0
hsa-miR-410-3p:MIMAT0002171:Homo:sapiens:miR-410-3p	80	10479	10479.0	0.0
hsa-miR-708-3p:MIMAT0004927:Homo:sapiens:miR-708-3p	84	10196	10195.0	0.0
hsa-miR-549a:MIMAT0003333:Homo:sapiens:miR-549a	88	9248	9248.0	0.0
hsa-miR-550a-3-5p:MIMAT0020925:Homo:sapiens:miR-550a-3-5p|hsa-miR-550a-5p:MIMAT0004800:Homo:sapiens:miR-550a-5p	66	9335	9151.083333333334	0.0
hsa-miR-615-5p:MIMAT0004804:Homo:sapiens:miR-615-5p	101	8918	8918.0	0.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	160	8599	8598.5	0.0
hsa-miR-541-5p:MIMAT0004919:Homo:sapiens:miR-541-5p	189	8580	8580.0	0.0
hsa-miR-148a-3p:MIMAT0000243:Homo:sapiens:miR-148a-3p	120	8498	8498.0	0.0
hsa-miR-520d-3p:MIMAT0002856:Homo:sapiens:miR-520d-3p	74	8452	8452.0	0.0
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	125	8445	8445.0	0.0
hsa-miR-636:MIMAT0003306:Homo:sapiens:miR-636	130	8445	8445.0	0.0
hsa-miR-450b-5p:MIMAT0004909:Homo:sapiens:miR-450b-5p	82	8444	8444.0	0.0
hsa-miR-654-3p:MIMAT0004814:Homo:sapiens:miR-654-3p	84	8295	8295.0	0.0
hsa-miR-126-5p:MIMAT0000444:Homo:sapiens:miR-126-5p	69	8111	8111.0	0.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	85	8061	8061.0	0.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	86	7915	7915.0	0.0
hsa-miR-641:MIMAT0003311:Homo:sapiens:miR-641	114	7869	7869.0	0.0
hsa-miR-27b-3p:MIMAT0000419:Homo:sapiens:miR-27b-3p	78	7511	7474.5	0.0
hsa-miR-373-3p:MIMAT0000726:Homo:sapiens:miR-373-3p	124	7190	7190.0	0.0
hsa-miR-637:MIMAT0003307:Homo:sapiens:miR-637	101	7169	7169.0	0.0
hsa-miR-431-5p:MIMAT0001625:Homo:sapiens:miR-431-5p	78	7015	7015.0	0.0
