ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-130b-5p:MIMAT0004680:Homo:sapiens:miR-130b-5p	188	343410	343409.5	26949.5
hsa-miR-1306-5p:MIMAT0022726:Homo:sapiens:miR-1306-5p	235	320314	320314.0	11847.0
hsa-miR-7706:MIMAT0030021:Homo:sapiens:miR-7706	392	300667	300667.0	70743.0
hsa-miR-18a-3p:MIMAT0002891:Homo:sapiens:miR-18a-3p	231	298323	298323.0	15914.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	273	287911	287911.0	89408.0
hsa-miR-1307-3p:MIMAT0005951:Homo:sapiens:miR-1307-3p	389	287735	287735.0	62327.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	203	283669	283619.0	24536.0
hsa-miR-143-3p:MIMAT0000435:Homo:sapiens:miR-143-3p	185	260413	260413.0	46808.0
hsa-miR-132-5p:MIMAT0004594:Homo:sapiens:miR-132-5p	276	248558	248558.0	32857.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	256	237710	237710.0	43776.0
hsa-miR-92a-3p:MIMAT0000092:Homo:sapiens:miR-92a-3p	295	232391	232391.0	58507.0
hsa-miR-10a-5p:MIMAT0000253:Homo:sapiens:miR-10a-5p	384	196242	196171.0	59971.0
hsa-miR-181a-5p:MIMAT0000256:Homo:sapiens:miR-181a-5p	329	181880	181880.0	47199.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	315	163984	163923.6666666667	26189.166666666668
hsa-miR-200c-3p:MIMAT0000617:Homo:sapiens:miR-200c-3p	266	160489	160489.0	27846.0
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	244	151729	151729.0	20688.0
hsa-miR-323b-3p:MIMAT0015050:Homo:sapiens:miR-323b-3p	265	146084	146035.0	20815.0
hsa-miR-532-5p:MIMAT0002888:Homo:sapiens:miR-532-5p	302	127780	127780.0	34026.0
hsa-miR-4433b-3p:MIMAT0030414:Homo:sapiens:miR-4433b-3p	153	124243	124243.0	33944.0
hsa-miR-4326:MIMAT0016888:Homo:sapiens:miR-4326	88	123744	123744.0	11883.0
hsa-miR-193b-3p:MIMAT0002819:Homo:sapiens:miR-193b-3p	219	123398	123398.0	16426.0
hsa-miR-486-3p:MIMAT0004762:Homo:sapiens:miR-486-3p	151	121734	121734.0	20590.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	181	118417	118417.0	39807.0
