ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	272	302768	301689.0	56819.50000000002
hsa-miR-4732-5p:MIMAT0019855:Homo:sapiens:miR-4732-5p	289	266226	266226.0	30202.0
hsa-miR-1908-5p:MIMAT0007881:Homo:sapiens:miR-1908-5p	207	262203	262203.0	34769.0
hsa-miR-192-5p:MIMAT0000222:Homo:sapiens:miR-192-5p	214	253967	253678.0	31233.0
hsa-miR-584-5p:MIMAT0003249:Homo:sapiens:miR-584-5p	268	245580	245580.0	77633.0
hsa-miR-589-5p:MIMAT0004799:Homo:sapiens:miR-589-5p	244	199779	199779.0	37406.0
hsa-miR-378c:MIMAT0016847:Homo:sapiens:miR-378c	302	197193	197185.83333333334	36887.33333333333
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	250	195731	195731.0	47584.0
hsa-miR-625-3p:MIMAT0004808:Homo:sapiens:miR-625-3p	231	176244	176244.0	29107.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	261	174237	173245.5	48366.5
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	217	169687	169687.0	16176.0
hsa-miR-99b-5p:MIMAT0000689:Homo:sapiens:miR-99b-5p	333	138968	138961.33333333334	43176.33333333333
hsa-miR-451b:MIMAT0019840:Homo:sapiens:miR-451b	219	122569	122569.0	25942.0
hsa-miR-148a-5p:MIMAT0004549:Homo:sapiens:miR-148a-5p	193	120115	120115.0	38175.0
hsa-miR-320d:MIMAT0006764:Homo:sapiens:miR-320d	53	104284	103127.3	18585.100000000006
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	298	102583	102538.83333333333	28478.833333333332
hsa-miR-4440:MIMAT0018958:Homo:sapiens:miR-4440	211	101721	101059.5	35336.0
hsa-miR-151a-3p:MIMAT0000757:Homo:sapiens:miR-151a-3p	149	95142	95142.0	36988.0
hsa-miR-127-3p:MIMAT0000446:Homo:sapiens:miR-127-3p	171	88373	88373.0	24301.0
hsa-miR-874-3p:MIMAT0004911:Homo:sapiens:miR-874-3p	243	84122	84122.0	16380.0
hsa-miR-345-5p:MIMAT0000772:Homo:sapiens:miR-345-5p	144	82345	82345.0	14120.0
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	169	80545	80545.0	22124.0
hsa-miR-139-3p:MIMAT0004552:Homo:sapiens:miR-139-3p	245	70336	70336.0	26672.0
