ReferenceID	uniqueReadCount	totalReadCount	multimapAdjustedReadCount	multimapAdjustedBarcodeCount
hsa-miR-191-3p:MIMAT0001618:Homo:sapiens:miR-191-3p	243	60808	60808.0	16629.0
hsa-miR-200a-5p:MIMAT0001620:Homo:sapiens:miR-200a-5p	242	58782	58782.0	25678.0
hsa-miR-891a-5p:MIMAT0004902:Homo:sapiens:miR-891a-5p	274	57227	57227.0	23308.0
hsa-miR-668-3p:MIMAT0003881:Homo:sapiens:miR-668-3p	238	57113	57113.0	17395.0
hsa-miR-500a-3p:MIMAT0002871:Homo:sapiens:miR-500a-3p	328	55505	52147.5	26592.5
hsa-miR-151b:MIMAT0010214:Homo:sapiens:miR-151b|hsa-miR-151a-5p:MIMAT0004697:Homo:sapiens:miR-151a-5p	105	52574	50875.0	14726.166666666668
hsa-miR-654-5p:MIMAT0003330:Homo:sapiens:miR-654-5p	249	49247	49247.0	25645.0
hsa-let-7d-3p:MIMAT0004484:Homo:sapiens:let-7d-3p	203	48803	48803.0	7680.0
hsa-miR-423-3p:MIMAT0001340:Homo:sapiens:miR-423-3p	284	48179	48179.0	24841.0
hsa-miR-486-5p:MIMAT0002177:Homo:sapiens:miR-486-5p	268	48124	48124.0	21570.0
hsa-miR-99a-5p:MIMAT0000097:Homo:sapiens:miR-99a-5p	333	45573	45530.166666666664	14960.166666666666
hsa-miR-485-5p:MIMAT0002175:Homo:sapiens:miR-485-5p	205	41687	41687.0	13321.0
hsa-miR-767-5p:MIMAT0003882:Homo:sapiens:miR-767-5p	200	41575	41575.0	12652.0
hsa-miR-575:MIMAT0003240:Homo:sapiens:miR-575	45	41364	41364.0	21933.0
hsa-miR-371a-5p:MIMAT0004687:Homo:sapiens:miR-371a-5p	95	39140	39140.0	15980.0
hsa-miR-330-3p:MIMAT0000751:Homo:sapiens:miR-330-3p	257	39112	39112.0	22302.0
hsa-miR-875-3p:MIMAT0004923:Homo:sapiens:miR-875-3p	124	39016	39016.0	10533.0
hsa-miR-490-3p:MIMAT0002806:Homo:sapiens:miR-490-3p	145	37914	37914.0	16509.0
hsa-miR-508-5p:MIMAT0004778:Homo:sapiens:miR-508-5p	249	37252	37252.0	18271.0
hsa-miR-146b-5p:MIMAT0002809:Homo:sapiens:miR-146b-5p	189	37188	37186.0	10447.0
hsa-miR-28-3p:MIMAT0004502:Homo:sapiens:miR-28-3p	223	36387	36387.0	25490.0
hsa-miR-100-5p:MIMAT0000098:Homo:sapiens:miR-100-5p	395	36192	36029.16666666667	17026.166666666664
hsa-miR-370-3p:MIMAT0000722:Homo:sapiens:miR-370-3p	178	35609	35609.0	17090.0
hsa-miR-378a-3p:MIMAT0000732:Homo:sapiens:miR-378a-3p	131	35669	35394.75	14162.250000000005
hsa-miR-181a-3p:MIMAT0000270:Homo:sapiens:miR-181a-3p	198	35333	35318.5	16254.5
hsa-miR-132-3p:MIMAT0000426:Homo:sapiens:miR-132-3p	192	35107	35107.0	8954.0
hsa-miR-92b-3p:MIMAT0003218:Homo:sapiens:miR-92b-3p	258	34833	34833.0	16704.0
hsa-miR-483-5p:MIMAT0004761:Homo:sapiens:miR-483-5p	181	34511	34511.0	11545.0
hsa-miR-224-5p:MIMAT0000281:Homo:sapiens:miR-224-5p	149	34109	34109.0	14268.0
hsa-miR-502-3p:MIMAT0004775:Homo:sapiens:miR-502-3p	241	37363	34081.0	10197.5
hsa-miR-433-3p:MIMAT0001627:Homo:sapiens:miR-433-3p	193	34050	34050.0	13661.0
hsa-miR-409-3p:MIMAT0001639:Homo:sapiens:miR-409-3p	265	33960	33960.0	14544.0
hsa-miR-422a:MIMAT0001339:Homo:sapiens:miR-422a	257	33950	33950.0	15591.0
hsa-miR-140-3p:MIMAT0004597:Homo:sapiens:miR-140-3p	207	32686	32686.0	16643.0
hsa-miR-323a-3p:MIMAT0000755:Homo:sapiens:miR-323a-3p	127	32613	32582.5	7219.0
hsa-miR-509-3p:MIMAT0002881:Homo:sapiens:miR-509-3p	250	31988	31988.0	16645.0
hsa-miR-509-3-5p:MIMAT0004975:Homo:sapiens:miR-509-3-5p	180	31017	31017.0	9180.0
hsa-miR-615-3p:MIMAT0003283:Homo:sapiens:miR-615-3p	167	30935	30935.0	9498.0
hsa-miR-671-3p:MIMAT0004819:Homo:sapiens:miR-671-3p	155	30673	30673.0	16708.0
hsa-miR-622:MIMAT0003291:Homo:sapiens:miR-622	115	30537	30537.0	8546.0
